tcin,title,url,brand,breadcrumb,leaf_category,price,original_price,discount_percent,is_on_sale,rating,review_count,bought_recently,is_new,colors,selected_color,images,description,feature_bullets,material,dimensions,dimensions_raw,bag_structure,interior_features,exterior_features,closure_type,handle_type,fabric_name,care_instructions,origin,upc,dpci,specs,in_stock,scraped_at
92142954,"JanSport Adaptive Accessory Bag - Misty Rose: Zipper Closure, Polyester Material",https://www.target.com/p/jansport-adaptive-accessory-bag/-/A-92142954?preselect=89788254#lnk=sametab,JanSport,Target > Luggage > Backpacks > Adaptive Backpacks,Adaptive Backpacks,0.0,0.0,0.0,False,4.6,359,,False,Misty Rose,,https://target.scene7.com/is/image/Target/GUEST_cbfaa9ec-58cc-4d9f-a99a-66670fd400b1?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6f3d37f8-75a0-4f0a-819d-38dc2a5cfcca?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_40c58736-6cd4-408a-a571-fcbddda1e515?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b4e10c7f-fadf-4d15-912d-a4744ff03087?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_158f453d-6067-4e42-894d-82772f7664b5?wid=1200&hei=1200&qlt=85,• One large main compartment; • Dual side water bottle pockets; • 15 inch laptop sleeve with organizer; • Iconic straight-cut shoulder straps with tangle free finger loop adjustment,,Polyester,"{""L"": ""10"", ""W"": ""9""}","10 Inches (L), 9 Inches (W)",,,,Zipper,,,Hand Wash,Imported,196247783407,069-10-6653,"{""Dimensions (Overall)"": ""10 Inches (L), 9 Inches (W)"", ""Closure Type"": ""Zipper"", ""Sustainability Claims"": ""Post-Consumer Recycled Material"", ""Package Quantity"": ""1"", ""Material"": ""Polyester"", ""Care & Cleaning"": ""Hand Wash"", ""TCIN"": ""89788254"", ""UPC"": ""196247783407"", ""Item Number (DPCI)"": ""069-10-6653"", ""Origin"": ""Imported""}",True,2026-02-23T00:36:01.170023
93216632,"MKF Collection Essie Women’s Crossbody Bag – Designer Vegan Leather Messenger Handbag, Hands Free Shoulder Purse by Mia K",https://www.target.com/p/mkf-collection-essie-crossbody-bag-by-mia-k/-/A-93216632?preselect=93216631#lnk=sametab,MKF Collection,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Crossbody & Messenger Bags",Crossbody & Messenger Bags,34.99,88.0,60.2,True,3.0,1,,False,black,,https://target.scene7.com/is/image/Target/GUEST_9b454414-816c-49d0-8df7-de3ef1a5eea8?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c52b33f8-0a0e-490d-8d5e-e5f9a6ec3155?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_708bfe25-3cd0-4ea2-8f50-58c4638bb721?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3f026b82-3618-47e2-9f01-77a593333659?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ecfec8bd-d328-4690-bbbf-e48be75eed88?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_844ea0c8-b782-4e7f-b8f0-0b917d9d589f?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_100f17a6-969f-4240-8067-3ad9550fd5a6?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f734d04c-f1d7-4588-8f8b-aa53b5ca3819?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_35535e76-e45b-4f83-91d1-ca2a22928916?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c8852b57-3e56-4195-99e4-46d1f0f43bf0?wid=1200&hei=1200&qlt=85,"MKF Collection is an independent brand and is not affiliated with Michael Kors in any way.; Premium Material: Soft, high-quality pebbled vegan leather with gold-tone hardware; Organized Interior: Wall zip pocket for small essentials; Exterior Convenience: Front slip pocket and decorative zippered pocket; Comfortable Carry: Adjustable strap, 21.65”–24.8”, perfect for hands-free wear; Bag Dimensions: 9.8” L x 6.3” H x 2.75” D; Fabric Lining: Fully lined for durability and easy cleaning; Secure Closure: Top zipper keeps belongings protected; Signature Style: Plate emblem with gold-press studs adds a polished, modern touch; Perfect gift for birthdays, holidays, or any occasion",,TPU (Thermoplastic Polyurethane),"{""H"": ""6.3"", ""W"": ""9.8"", ""D"": ""2.75""}",6.3 inches (H) x 9.8 inches (W) x 2.75 inches (D),Structured,Zip Pocket,Zip Pocket,Zip Closure,Shoulder Strap,Faux Leather,Spot or Wipe Clean,imported,748926266062,,"{""Dimensions (Overall)"": ""6.3 inches (H) x 9.8 inches (W) x 2.75 inches (D)"", ""Shell Material"": ""TPU (Thermoplastic Polyurethane)"", ""Bag Structure"": ""Structured"", ""Interior Features"": ""Zip Pocket"", ""Exterior Features"": ""Zip Pocket"", ""Main Compartment Closure"": ""Zip Closure"", ""Handle Type"": ""Shoulder Strap"", ""Fabric Name"": ""Faux Leather"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""93216631"", ""UPC"": ""748926266062"", ""Origin"": ""imported""}",True,2026-02-23T00:36:01.170023
1005190267,On-the-Go Fanny Pack Sling – Hynes Eagle – Khaki,https://www.target.com/p/hynes-eagle-the-wander-waist-bag-fanny-pack-bum-bag/-/A-1005190267?preselect=1005190265#lnk=sametab,Hynes Eagle,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Fanny Packs",Fanny Packs,14.99,0.0,0.0,False,4.9,15,,False,size12.2 x 2.36 x 5.12 inSize guide,,https://target.scene7.com/is/image/Target/GUEST_c4b9835e-3a62-480e-ac7e-529c73e6b671?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_26658b97-fbc1-4703-979b-9a6be3ccb9a8?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_80f60146-d863-44cc-9bc6-795b0e65141b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ddbe2d3d-9f3b-40fc-a7a9-9d9fc1e2b859?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_76da1103-3841-426d-8a40-7660488ff1ae?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_27e4a5b4-80f3-45f1-99ca-a54b50034860?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3e9d0490-3dd6-431f-89f0-d3113c158911?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_dd1ada62-598d-46fc-a529-09e2095224a0?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_371b06c8-f4cb-42bf-9113-f66f83a92e88?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_88e2aa4b-62ee-45a7-b500-40e75ab72bd8?wid=1200&hei=1200&qlt=85,"Zip-top main compartment for secure, hands-free carry; Hidden back zip pocket helps protect valuables; Adjustable strap for waist or crossbody wear; Water-repellent fabric for everyday use and travel; Front zip pocket for quick-access essentials; Lightweight, low-profile design without bulk; Comfortable unisex fit for daily movement; Made for errands, commuting & travel days",,Nylon,"{""H"": ""12.2"", ""W"": ""5.12"", ""D"": ""2.36""}",12.2 inches (H) x 5.12 inches (W) x 2.36 inches (D),,Multiple Compartments,Adjustable Strap,Zip Closure,,,Spot or Wipe Clean,imported,810192523528,,"{""Dimensions (Overall)"": ""12.2 inches (H) x 5.12 inches (W) x 2.36 inches (D)"", ""Shell Material"": ""Nylon"", ""Interior Features"": ""Multiple Compartments"", ""Exterior Features"": ""Adjustable Strap"", ""Main Compartment Closure"": ""Zip Closure"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""1005190265"", ""UPC"": ""810192523528"", ""Origin"": ""imported""}",True,2026-02-23T00:36:01.170023
94705891,Kiss Lock Clutch Bag - A New Day™ Black,https://www.target.com/p/kiss-lock-clutch-bag-a-new-day/-/A-94705891?preselect=94687138#lnk=sametab,A New Day,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Clutches",Clutches,30.0,0.0,0.0,False,4.4,90,,False,Black | Brown,,https://target.scene7.com/is/image/Target/GUEST_c81ce67f-222a-4e84-967e-6fe3dc83c1fe?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_bc30567f-6c47-4d02-b6ce-a59ad66c248b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_62892e50-afe0-4d6e-8dec-8f6b2e663cf5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9c26ce3e-b739-4d15-ae85-201852781129?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_3b7641a5-9ceb-46cc-b981-305a137809b4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_6d7ade98-e79b-48a8-b965-72fc3d5ffe51?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d6dc9cfb-b712-4199-a1c7-824643132338?wid=1200&hei=1200&qlt=85,Twill fabric clutch bag; Kiss lock clasp closure; Main compartment with credit card slip pocket; Kiss lock metal clasp closure; Detachable carrying handle,,Polyurethane,"{""H"": ""7"", ""W"": ""13.5"", ""D"": ""5""}",7 Inches (H) x 13.5 Inches (W) x 5 Inches (D),Unstructured,Credit Card Pockets,Detachable Handle,Kiss Lock Clasp,Carrying Handle,Twill,Spot or Wipe Clean,Imported,199268397820,024-06-4399,"{""Dimensions (Overall)"": ""7 Inches (H) x 13.5 Inches (W) x 5 Inches (D)"", ""Shell Material"": ""Polyurethane"", ""Bag Structure"": ""Unstructured"", ""Interior Features"": ""Credit Card Pockets"", ""Exterior Features"": ""Detachable Handle"", ""Main Compartment Closure"": ""Kiss Lock Clasp"", ""Handle Type"": ""Carrying Handle"", ""Fabric Name"": ""Twill"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94687138"", ""UPC"": ""199268397820"", ""Item Number (DPCI)"": ""024-06-4399"", ""Origin"": ""Imported""}",True,2026-02-23T00:36:01.170525
94668471,Girls' Valentine's Day Bag Charm - art class™ Gold,https://www.target.com/p/girls-39-valentine-39-s-day-bag-charm-art-class-8482-gold/-/A-94668471#lnk=sametab,Art Class,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Bag Charms & Straps",Bag Charms & Straps,8.0,0.0,0.0,False,5.0,5,,False,,,https://target.scene7.com/is/image/Target/GUEST_2d3b2c85-a032-4da2-9eea-1f1bfb6132ad?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9ab34a3a-b7b2-455d-9ee6-3c2912a1d528?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a87428c0-5de1-4060-87f0-5d35bcea4ef4?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ea3d54bf-a48c-4d44-a064-da2730a1b58d?wid=1200&hei=1200&qlt=85,Fun Valentine's Day-themed bag charm; Shiny gold finish with heart accents; Easy to clip onto bags or keychains; Great for daily use or gifting,,"Zinc Alloy, Iron, Acrylic","{""L"": ""3.74"", ""W"": ""1.25""}","3.74 Inches (L), 1.25 Inches (W)",,,,Lobster Claw Clasp,,,Care Instructions Not Provided,Imported,199268321696,202-14-9504,"{""Dimensions (Overall)"": ""3.74 Inches (L), 1.25 Inches (W)"", ""Closure Type"": ""Lobster Claw Clasp"", ""Suggested Age"": ""3 Years and Up"", ""CPSC Choking Hazard Warnings"": ""Choking_hazard_small_parts"", ""Package Quantity"": ""1"", ""Material"": ""Zinc Alloy, Iron, Acrylic"", ""Care & Cleaning"": ""Care Instructions Not Provided"", ""TCIN"": ""94668471"", ""UPC"": ""199268321696"", ""Item Number (DPCI)"": ""202-14-9504"", ""Origin"": ""Imported""}",True,2026-02-23T00:36:01.170525
94742366,Simulated Pearl Heart Beaded Mini Tote Handbag - A New Day™ Cream,https://www.target.com/p/simulated-pearl-heart-beaded-mini-tote-handbag-a-new-day-8482-cream/-/A-94742366#lnk=sametab,A New Day,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses",Handbags & Purses,25.5,30.0,15.0,True,5.0,8,,False,,,https://target.scene7.com/is/image/Target/GUEST_b198d847-7a29-4bdd-9459-b44ed8212ca5?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_24db7729-f877-4a0e-acbc-780235a3b4e0?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_826fd762-da69-4013-bbec-58b95fa474cb?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_8f3324fd-3e4f-4582-bb71-2c876da42124?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_41b8a658-d6ad-4483-872f-4e8528d588a6?wid=1200&hei=1200&qlt=85,Mini tote handbag with simulated pearl beads; Heart-shaped double handles; Hardside woven design; Open main compartment; Plastic shell,,Plastic,"{""H"": ""19"", ""W"": ""24"", ""D"": ""6""}",19 Centimeter (H) x 24 Centimeter (W) x 6 Centimeter (D),Hardside,No Compartments or Pockets,No Compartments or Pockets,"Open, No Closure",Double Handle,Woven,Spot or Wipe Clean,Imported,199268617690,024-06-8346,"{""Dimensions (Overall)"": ""19 Centimeter (H) x 24 Centimeter (W) x 6 Centimeter (D)"", ""Shell Material"": ""Plastic"", ""Bag Structure"": ""Hardside"", ""Interior Features"": ""No Compartments or Pockets"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Open, No Closure"", ""Handle Type"": ""Double Handle"", ""Fabric Name"": ""Woven"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94742366"", ""UPC"": ""199268617690"", ""Item Number (DPCI)"": ""024-06-8346"", ""Origin"": ""Imported""}",True,2026-02-23T00:36:01.170525
1002454120,MKF Collection Angelina Crossbody Shoulder Women's Handbag Vegan Leather Purse by Mia K- Cognac Brown,https://www.target.com/p/mkf-collection-angelina-crossbody-shoulder-women-s-handbag-vegan-leather-purse-by-mia-k/-/A-1002454120?preselect=1002454119#lnk=sametab,MKF Collection,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Crossbody & Messenger Bags",Crossbody & Messenger Bags,60.5,118.0,48.7,True,3.2,7,,False,cognac brown,,https://target.scene7.com/is/image/Target/GUEST_92cab5dd-6e5f-416f-80d6-52d9718fd96e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c52b33f8-0a0e-490d-8d5e-e5f9a6ec3155?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_0830b76f-b8ee-4a0a-bb32-437bd153a0bd?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_91e30e55-52c4-4f60-86fa-8b08354041cd?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_963712d2-87fa-4cd8-b2cb-33b49231f0eb?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_15db8302-c220-46ec-a0db-058f4eb0b54e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f5ec95e6-6aab-4743-9fd7-7024eb7d849e?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_06b7db12-a473-4fc1-9750-5ea020caaa4d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_96eb4461-7987-4ec6-b4eb-7209f406d448?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_2180aaf6-793d-43dd-9310-d86ac25e9f43?wid=1200&hei=1200&qlt=85,Measurements: 8.5 in W x 9 in H x 1.8 in D; The interior features a wall zip pocket and two slip pockets; The exterior features a back zippered pocket and two front zippered pockets; High-quality faux leather; Gold-tone hardware; Zipper fastening; Removable and Adjustable strap: Extends to 24”; This product is not affiliated with Michael Kors.,,TPU (Thermoplastic Polyurethane),"{""H"": ""10.3"", ""W"": ""17.5"", ""D"": ""5""}",10.3 inches (H) x 17.5 inches (W) x 5 inches (D),Structured,Accessories Pocket,Back Pocket,Zip Closure,Adjustable Strap,Faux Leather,Spot or Wipe Clean,imported,720167664296,,"{""Dimensions (Overall)"": ""10.3 inches (H) x 17.5 inches (W) x 5 inches (D)"", ""Shell Material"": ""TPU (Thermoplastic Polyurethane)"", ""Bag Structure"": ""Structured"", ""Interior Features"": ""Accessories Pocket"", ""Exterior Features"": ""Back Pocket"", ""Main Compartment Closure"": ""Zip Closure"", ""Handle Type"": ""Adjustable Strap"", ""Fabric Name"": ""Faux Leather"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""1002454119"", ""UPC"": ""720167664296"", ""Origin"": ""imported""}",True,2026-02-23T00:36:01.170525
93147143,"MKF Collection Merlina Large Vegan Leather Tote Bag with Wallet – 2-Piece Women’s Shoulder & Top Handle Handbag, Circular Print by Mia K",https://www.target.com/p/mkf-collection-merlina-circular-print-women-s-tote-bag-with-matching-wallet-by-mia-k/-/A-93147143?preselect=93754576#lnk=sametab,MKF Collection,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Shoulder Bags,84.0,218.0,61.5,True,4.2,5,,False,cognac,,https://target.scene7.com/is/image/Target/GUEST_23b699d6-db6e-482d-aeda-880de2940898?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c52b33f8-0a0e-490d-8d5e-e5f9a6ec3155?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f05c904b-e596-4667-be15-7211027945c8?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_80e78ea3-9fa8-4bf9-a793-9b265e1cd8e0?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_cfdee502-8edc-4b21-95fe-67cd5b1a0758?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b6228614-9c2c-4d56-aa4a-9bfd4b8d4e9b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_4ad03889-1ed0-4f24-ae30-f31c644df239?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_73c47f9a-0296-412e-b808-60dc7f2d5063?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_f864d0b4-da75-4dfb-88a0-ac1b3fc55800?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_dface924-60f3-4404-82d5-9d4f3b9c9e8e?wid=1200&hei=1200&qlt=85,"MKF Collection is an independent brand and is not affiliated with Michael Kors in any way.; 2-Piece Set: Merlina tote bag with matching zip-around wallet; Premium Material: Crafted from durable vegan leather with a modern circular print; Spacious & Organized: Interior wall zip pocket and two slip pockets for everyday essentials; Exterior Storage: Two side slip pockets and one back zippered pocket for quick access; Versatile Carry: Comfortable top handles with acrylic chain detail plus adjustable, detachable crossbody strap; Secure Closure: Top zipper closure keeps belongings protected; Bag Dimensions: 13.5” W x 11” H x 5” D with 8.5” handle drop; Wallet Details: 7.5” W x 4” H x 0.5” D with 8 card slots, center zip pocket, and two bill compartments; Extra: Dust bag included; Perfect gift for birthdays, holidays, or any occasion",,TPU (Thermoplastic Polyurethane),"{""H"": ""11"", ""W"": ""13.5"", ""D"": ""5""}",11 inches (H) x 13.5 inches (W) x 5 inches (D),Structured,Zip Pocket,Zip Pocket,Zip Closure,Adjustable Strap,Faux Leather,Spot or Wipe Clean,imported,726667408071,,"{""Dimensions (Overall)"": ""11 inches (H) x 13.5 inches (W) x 5 inches (D)"", ""Shell Material"": ""TPU (Thermoplastic Polyurethane)"", ""Bag Structure"": ""Structured"", ""Interior Features"": ""Zip Pocket"", ""Exterior Features"": ""Zip Pocket"", ""Main Compartment Closure"": ""Zip Closure"", ""Handle Type"": ""Adjustable Strap"", ""Fabric Name"": ""Faux Leather"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""93754576"", ""UPC"": ""726667408071"", ""Origin"": ""imported""}",True,2026-02-23T00:36:01.170525
1007903463,Women Handbags and Purse Tote Bags Ladies Satchel Shoulder Bag Retro Top Handle Black Brown002 11.4*5.1*8.26,https://www.target.com/p/women-handbags-and-purse-tote-bags-ladies-satchel-shoulder-bag-retro-top-handle/-/A-1007903463?preselect=1007903462#lnk=sametab,Empire DigiLabs,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Shoulder Bags,89.97,179.94,50.0,True,3.0,1,,False,size11.4*5.1*8.26,,https://target.scene7.com/is/image/Target/GUEST_3e4cb1fa-a39a-4005-8067-59be48bfa8df?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_d907ff90-bfd5-422c-a5b9-672dd2a20d0b?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_b19c59cb-7cbc-4163-96e1-0a6f55369812?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_c1c12499-b0c8-4ae9-8f89-449b332797d3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_2b9df1ef-4d22-4032-874b-c56268acd9cd?wid=1200&hei=1200&qlt=85,,,Leather,"{""H"": ""8.26"", ""W"": ""11.4"", ""D"": ""5.1""}",8.26 inches (H) x 11.4 inches (W) x 5.1 inches (D),Structured,Multiple Compartments,Detachable Straps,Zip Closure,Top Carrying Handle,Faux Leather,Spot or Wipe Clean,imported,661309872745,,"{""Dimensions (Overall)"": ""8.26 inches (H) x 11.4 inches (W) x 5.1 inches (D)"", ""Shell Material"": ""Leather"", ""Bag Structure"": ""Structured"", ""Interior Features"": ""Multiple Compartments"", ""Exterior Features"": ""Detachable Straps"", ""Main Compartment Closure"": ""Zip Closure"", ""Handle Type"": ""Top Carrying Handle"", ""Fabric Name"": ""Faux Leather"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""1007903462"", ""UPC"": ""661309872745"", ""Origin"": ""imported""}",True,2026-02-23T00:36:01.170525
94776901,Quilted Drawstring Tote Handbag - Universal Thread™ Pink,https://www.target.com/p/quilted-drawstring-tote-handbag-universal-thread/-/A-94776901?preselect=94776900#lnk=sametab,Universal Thread,"Target > Clothing, Shoes & Accessories > Accessories > Handbags & Purses > Shoulder Bags",Shoulder Bags,35.0,0.0,0.0,False,3.9,11,,False,Black | Pale Blue | Pink | Yellow,,https://target.scene7.com/is/image/Target/GUEST_5e168547-8dac-457c-8f8c-dd363f529a80?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_a22b36d4-9fec-4592-ab7d-18322c98374d?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_1bc25f15-6e08-4dfa-ab9c-12a5cbb710ff?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_9f178582-2246-4ef6-afff-2259542031a3?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_ec9c9dec-b0af-4098-832f-38c1ffc0caec?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/baseswatch?wid=1200&hei=1200&qlt=85 | https://target.scene7.com/is/image/Target/GUEST_e2fdee52-ea75-4a98-a80e-c6e55e51b305?wid=1200&hei=1200&qlt=85,Universal Thread quilted tote handbag; Woven with recycled polyester fabric; Interior zip pocket; Double shoulder straps; Drawstring closure,,100% Recycled Polyester,"{""H"": ""14.72"", ""W"": ""19.31"", ""D"": ""5"", ""Maximum Strap Length"": ""11 Inches"", ""Minimum Strap Length"": ""11 Inches""}",14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D),Softside,Zip Pocket,No Compartments or Pockets,Drawstring Closure,Double Strap,Woven,Spot or Wipe Clean,Imported,199268613777,024-00-9856,"{""Dimensions (Overall)"": ""14.72 Inches (H) x 19.31 Inches (W) x 5 Inches (D)"", ""Shell Material"": ""100% Recycled Polyester"", ""Bag Structure"": ""Softside"", ""Interior Features"": ""Zip Pocket"", ""Exterior Features"": ""No Compartments or Pockets"", ""Main Compartment Closure"": ""Drawstring Closure"", ""Handle Type"": ""Double Strap"", ""Fabric Name"": ""Woven"", ""Maximum Strap Length"": ""11 Inches"", ""Minimum Strap Length"": ""11 Inches"", ""Care & Cleaning"": ""Spot or Wipe Clean"", ""TCIN"": ""94776900"", ""UPC"": ""199268613777"", ""Item Number (DPCI)"": ""024-00-9856"", ""Origin"": ""Imported""}",True,2026-02-23T00:36:01.170525
