category,mission,price_band,focus_count_in_cell,competitor_count_in_cell,focus_density,competitor_median_density,competitor_max_density,gap,target_count_in_cell,target_density
Abercrombie x Kemo Sabe,statement_fashion,35_50,0,1,0.0,1.0,1.0,1.0,0,0.0
Bags & Wallets,gym_active,75_plus,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Wallets,travel_utility,50_75,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Wallets,travel_utility,75_plus,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Wallets,work_tote,75_plus,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Bag Charms,everyday_crossbody,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,micro_mini_impulse,15_25,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,micro_mini_impulse,25_35,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,oversized_carryall,50_75,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,statement_fashion,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,weekend_bucket,50_75,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,weekend_bucket,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
Bags & Bag Charms,work_tote,75_plus,0,1,0.0,0.125,0.125,0.125,0,0.0
