subcluster,segment_label,subcluster_label,product_count
19,Wallets,Wallets | wallet / solid | Budget,15
28,Shop All Accessories,Shop All Accessories | bag / kids | Mid,13
13,"Bags, Scarves & More","Bags, Scarves & More | bag / charm | Mid",5
14,"Bags, Scarves & More","Bags, Scarves & More | charm / bag | Mid",15
42,Shoulder Bags,Shoulder Bags | bag / handbag | Mid,55
48,Shoulder Bags,Shoulder Bags | handbag / universal | Mid,14
47,Crossbody & Messenger Bags,Crossbody & Messenger Bags | bag / crossbody | Mid,31
36,Shoulder Bags,Shoulder Bags | bag / universal | Mid,15
35,Bags & Wallets,Bags & Wallets | bag / tote | Upper Mid,10
17,girls,girls | girls / crossbody | Upper Mid,6
21,Bag Charms & Straps,Bag Charms & Straps | gold / chain | Budget,10
12,Bag Charms & Straps,Bag Charms & Straps | bag / charm | Budget,14
46,Fashion Backpacks,Fashion Backpacks | backpack / universal | Mid,8
10,Shop All Accessories,Shop All Accessories | backpack / kids | Mid,6
15,"Bags, Scarves & More","Bags, Scarves & More | bag / charm | Mid",9
1,bags,bags | phone / chain | Upper Mid,4
37,"Bags, Scarves & More","Bags, Scarves & More | bag / vegan | Upper Mid",6
38,"Bags, Scarves & More","Bags, Scarves & More | bag / tote | Upper Mid",9
43,bags,bags | berkeley / bag | Premium,13
34,Bags & Wallets,Bags & Wallets | tote / bag | Premium,8
23,Shop All Accessories,Shop All Accessories | state / rockaway | Mid,9
22,Shoes & Accessories,Shoes & Accessories | kibou / belt | Mid,7
25,Shop All Accessories,Shop All Accessories | state / kane | Mid,10
16,"Bags, Scarves & More","Bags, Scarves & More | shiraleah / helmet | Mid",8
26,Shop All Accessories,Shop All Accessories | state / logan | Premium,4
30,"Bags, Scarves & More","Bags, Scarves & More | tote / bag | Mid",15
27,"Bags, Scarves & More","Bags, Scarves & More | tote / denim | Mid",5
39,"Bags, Scarves & More","Bags, Scarves & More | vegan / suede | Upper Mid",5
24,Shop All Accessories,Shop All Accessories | nba / logo | Budget,5
11,Shop All Accessories,Shop All Accessories | kids / sherpa | Mid,4
40,"Bags, Scarves & More","Bags, Scarves & More | vegan / barrel | Mid",4
5,"Bags, Scarves & More","Bags, Scarves & More | brannan / bear | Budget",9
6,Bags & Bag Charms,Bags & Bag Charms | keychain / charm | Budget,5
8,Bags & Bag Charms,Bags & Bag Charms | logo / tote | Budget,7
7,Bags & Bag Charms,Bags & Bag Charms | logo / tote | Budget,5
3,Bags & Bag Charms,Bags & Bag Charms | logo / tote | Budget,3
29,"Bags, Scarves & More","Bags, Scarves & More | crochet / tote | Upper Mid",5
0,Bags & Bag Charms,Bags & Bag Charms | toy / logo | Budget,4
44,bags,bags | shoulder / bag | Premium,11
45,bags,bags | bag / shoulder | Premium,8
33,bags,bags | drawstring / pouch | Premium,4
32,bags,bags | tote / kayu | Premium,6
31,bags,bags | clutch / kayu | Premium,11
41,bags,bags | bag / bembien | Premium,10
20,bags,bags | ame / lulu | Premium,4
18,Bags & Wallets,Bags & Wallets | filson / rugged | Premium,3
9,bags,bags | clutch / olympia | Premium,5
4,Bags & Wallets,Bags & Wallets | leather / cardholder | Upper Mid,6
2,Bottoms,Bottoms | girls / short | Upper Mid,7
