availability_text,average_rating,best_seller_flag,brand,care_instructions,category_breadcrumb,color_options,description,dimensions,dimensions_section,image_count,image_url,images_list,is_sale,material_text,materials_section,name,new_arrival_flag,price_currency,price_current,price_original,product_details,product_id,product_url,promo_excluded,rating_count,review_count,scrape_date,size_options,sku,sold_shipped_by
,0,,Gap,,Women / Shoes & Accessories > Women > Shoes & Accessories,BLUE,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,23,https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg,https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg | https://www.gap.com/webcontent/0056/007/477/cn56007477.jpg | https://www.gap.com/webcontent/0056/007/480/cn56007480.jpg | https://www.gap.com/webcontent/0056/007/476/cn56007476.jpg | https://www.gap.com/webcontent/0056/007/471/cn56007471.jpg | https://www.gap.com/webcontent/0056/007/521/cn56007521.jpg | https://www.gap.com/webcontent/0056/007/543/cn56007543.jpg | https://www.gap.com/webcontent/0056/007/549/cn56007549.jpg | https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg | https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg | https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg | https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg | https://www.gap.com/webcontent/0055/341/135/cn55341135.jpg | https://www.gap.com/webcontent/0060/011/966/cn60011966.jpg | https://www.gap.com/webcontent/0055/341/230/cn55341230.jpg | https://www.gap.com/webcontent/0060/014/274/cn60014274.jpg | https://www.gap.com/webcontent/0060/742/153/cn60742153.jpg | https://www.gap.com/webcontent/0055/342/116/cn55342116.jpg | https://www.gap.com/webcontent/0061/017/327/cn61017327.jpg | https://www.gap.com/webcontent/0059/087/730/cn59087730.jpg | https://www.gap.com/webcontent/0060/739/113/cn60739113.jpg | https://www.gap.com/webcontent/0059/289/704/cn59289704.jpg | https://www.gap.com/webcontent/0061/850/738/cn61850738.jpg,True,,,Kibou Mini Vegan Leather Wallet Belt Bag,,USD,46.0,79.95,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",1169519002,https://www.gap.com/browse/product.do?pid=1169519002&vid=1&pcid=3046544&cid=3046544,True,0,0,2026-02-22,One Size,1169519,Kibou
,0,,Gap,,Women / Shoes & Accessories > Women > Shoes & Accessories,Blush pink,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,23,https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg,https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg | https://www.gap.com/webcontent/0056/003/818/cn56003818.jpg | https://www.gap.com/webcontent/0056/004/157/cn56004157.jpg | https://www.gap.com/webcontent/0056/003/850/cn56003850.jpg | https://www.gap.com/webcontent/0056/003/842/cn56003842.jpg | https://www.gap.com/webcontent/0056/003/843/cn56003843.jpg | https://www.gap.com/webcontent/0056/003/837/cn56003837.jpg | https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg | https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg | https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg | https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg | https://www.gap.com/webcontent/0061/822/891/cn61822891.jpg | https://www.gap.com/webcontent/0059/290/125/cn59290125.jpg | https://www.gap.com/webcontent/0061/850/542/cn61850542.jpg | https://www.gap.com/webcontent/0055/341/135/cn55341135.jpg | https://www.gap.com/webcontent/0061/848/257/cn61848257.jpg | https://www.gap.com/webcontent/0061/863/273/cn61863273.jpg | https://www.gap.com/webcontent/0060/534/248/cn60534248.jpg | https://www.gap.com/webcontent/0061/849/074/cn61849074.jpg | https://www.gap.com/webcontent/0059/669/365/cn59669365.jpg | https://www.gap.com/webcontent/0061/850/702/cn61850702.jpg | https://www.gap.com/webcontent/0061/036/597/cn61036597.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,False,,,Kibou Mini Vegan Leather Wallet Belt Bag,,USD,46.0,,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",1169516002,https://www.gap.com/browse/product.do?pid=1169516002&vid=1&pcid=3046544&cid=3046544,True,0,0,2026-02-22,One Size,1169516,Kibou
Only a few left!,0,,Gap,,Women / Shoes & Accessories > Women > Shoes & Accessories,Black,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable nylon exterior. Wipeable and stain-resistant recycled nylon lining.",One Size Sold & shipped by Kibou Return by mail only. Only a few left! 1 Get it before it's gone,One Size Sold & shipped by Kibou Return by mail only. Only a few left! 1 Get it before it's gone,22,https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg,https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg | https://www.gap.com/webcontent/0056/003/310/cn56003310.jpg | https://www.gap.com/webcontent/0056/003/309/cn56003309.jpg | https://www.gap.com/webcontent/0056/003/307/cn56003307.jpg | https://www.gap.com/webcontent/0056/003/311/cn56003311.jpg | https://www.gap.com/webcontent/0056/003/313/cn56003313.jpg | https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg | https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg | https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg | https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg | https://www.gap.com/webcontent/0061/849/074/cn61849074.jpg | https://www.gap.com/webcontent/0061/017/157/cn61017157.jpg | https://www.gap.com/webcontent/0060/739/113/cn60739113.jpg | https://www.gap.com/webcontent/0061/849/709/cn61849709.jpg | https://www.gap.com/webcontent/0060/011/966/cn60011966.jpg | https://www.gap.com/webcontent/0057/788/446/cn57788446.jpg | https://www.gap.com/webcontent/0060/014/274/cn60014274.jpg | https://www.gap.com/webcontent/0061/842/055/cn61842055.jpg | https://www.gap.com/webcontent/0060/779/618/cn60779618.jpg | https://www.gap.com/webcontent/0060/739/553/cn60739553.jpg | https://www.gap.com/webcontent/0059/972/919/cn59972919.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,,,Kibou Mini Nylon Wallet Belt Bag,,USD,46.0,79.95,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable nylon exterior. Wipeable and stain-resistant recycled nylon lining.",1169515002,https://www.gap.com/browse/product.do?pid=1169515002&vid=1&pcid=3046544&cid=3046544,True,0,,2026-02-22,One Size,1169515,Kibou
,0,,Gap,,Women / Shoes & Accessories > Women > Shoes & Accessories,LAVENDER,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,24,https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg,https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg | https://www.gap.com/webcontent/0056/007/739/cn56007739.jpg | https://www.gap.com/webcontent/0056/007/485/cn56007485.jpg | https://www.gap.com/webcontent/0056/007/746/cn56007746.jpg | https://www.gap.com/webcontent/0056/007/555/cn56007555.jpg | https://www.gap.com/webcontent/0056/007/753/cn56007753.jpg | https://www.gap.com/webcontent/0056/007/557/cn56007557.jpg | https://www.gap.com/webcontent/0056/007/504/cn56007504.jpg | https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg | https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg | https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg | https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg | https://www.gap.com/webcontent/0061/822/891/cn61822891.jpg | https://www.gap.com/webcontent/0055/341/230/cn55341230.jpg | https://www.gap.com/webcontent/0061/850/542/cn61850542.jpg | https://www.gap.com/webcontent/0055/341/135/cn55341135.jpg | https://www.gap.com/webcontent/0060/779/618/cn60779618.jpg | https://www.gap.com/webcontent/0061/848/257/cn61848257.jpg | https://www.gap.com/webcontent/0059/290/125/cn59290125.jpg | https://www.gap.com/webcontent/0061/849/074/cn61849074.jpg | https://www.gap.com/webcontent/0061/850/823/cn61850823.jpg | https://www.gap.com/webcontent/0061/850/702/cn61850702.jpg | https://www.gap.com/webcontent/0057/780/070/cn57780070.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,False,,,Kibou Mini Vegan Leather Wallet Belt Bag,,USD,46.0,,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",1169518002,https://www.gap.com/browse/product.do?pid=1169518002&vid=1&pcid=3046544&cid=3046544,True,0,95,2026-02-22,One Size,1169518,Kibou
,0,,Gap,,Girls / Shop All Accessories > Girls > Shop All Accessories,Pink/Silver | Fuzzy Bolt,"Perfect for after-school activities, sleepovers, and weekend getaways. Designed with two handles and an adjustable crossbody strap for easy carrying. Detachable pouches for shoes and dirty clothes and interior pockets to keep everything organized. Made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need.",One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,19,https://www.gap.com/webcontent/0059/975/498/cn59975498.jpg,https://www.gap.com/webcontent/0059/975/498/cn59975498.jpg | https://www.gap.com/webcontent/0060/014/084/cn60014084.jpg | https://www.gap.com/webcontent/0059/974/648/cn59974648.jpg | https://www.gap.com/webcontent/0059/974/883/cn59974883.jpg | https://www.gap.com/webcontent/0061/035/621/cn61035621.jpg | https://www.gap.com/webcontent/0060/791/857/cn60791857.jpg | https://www.gap.com/webcontent/0061/019/479/cn61019479.jpg | https://www.gap.com/webcontent/0061/019/504/cn61019504.jpg | https://www.gap.com/webcontent/0059/975/575/cn59975575.jpg | https://www.gap.com/webcontent/0061/017/150/cn61017150.jpg | https://www.gap.com/webcontent/0059/974/695/cn59974695.jpg | https://www.gap.com/webcontent/0059/912/755/cn59912755.jpg | https://www.gap.com/webcontent/0061/037/218/cn61037218.jpg | https://www.gap.com/webcontent/0059/219/508/cn59219508.jpg | https://www.gap.com/webcontent/0061/036/285/cn61036285.jpg | https://www.gap.com/webcontent/0060/726/816/cn60726816.jpg | https://www.gap.com/webcontent/0060/367/792/cn60367792.jpg | https://www.gap.com/webcontent/0060/283/400/cn60283400.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,". For every bag sold, STATE donates a percentage of the proceeds to American families in need.",". For every bag sold, STATE donates a percentage of the proceeds to American families in need.",STATE Rockaway Duffle,,USD,24.95,145.0,"Perfect for after-school activities, sleepovers, and weekend getaways. Designed with two handles and an adjustable crossbody strap for easy carrying. Detachable pouches for shoes and dirty clothes and interior pockets to keep everything organized. Made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need.",1173109002,https://www.gap.com/browse/product.do?pid=1173109002&vid=1&pcid=3046567&cid=3046567,True,0,,2026-02-22,One Size,1173109,State Bags
,0,,Gap,,Girls / Shop All Accessories > Girls > Shop All Accessories,Pink/Silver,"Recommended for little adventurers ages 2-4. The Kane Mini Backpack has a compact design with just enough space for the essentials. Perfect for preschool or their very first big trip! Let their personalities shine with designs just as unique as they are. 45% of this bag is made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need. STATE is the family bag company that’s carrying everyone, everywhere, through the journey of life with open hands.",One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,20,https://www.gap.com/webcontent/0059/912/755/cn59912755.jpg,https://www.gap.com/webcontent/0059/912/755/cn59912755.jpg | https://www.gap.com/webcontent/0059/911/982/cn59911982.jpg | https://www.gap.com/webcontent/0059/912/738/cn59912738.jpg | https://www.gap.com/webcontent/0059/911/990/cn59911990.jpg | https://www.gap.com/webcontent/0059/975/575/cn59975575.jpg | https://www.gap.com/webcontent/0061/037/250/cn61037250.jpg | https://www.gap.com/webcontent/0059/974/695/cn59974695.jpg | https://www.gap.com/webcontent/0061/019/504/cn61019504.jpg | https://www.gap.com/webcontent/0061/017/585/cn61017585.jpg | https://www.gap.com/webcontent/0061/037/218/cn61037218.jpg | https://www.gap.com/webcontent/0061/120/754/cn61120754.jpg | https://www.gap.com/webcontent/0057/843/058/cn57843058.jpg | https://www.gap.com/webcontent/0061/221/407/cn61221407.jpg | https://www.gap.com/webcontent/0061/206/452/cn61206452.jpg | https://www.gap.com/webcontent/0060/367/792/cn60367792.jpg | https://www.gap.com/webcontent/0061/716/343/cn61716343.jpg | https://www.gap.com/webcontent/0059/975/498/cn59975498.jpg | https://www.gap.com/webcontent/0060/791/857/cn60791857.jpg | https://www.gap.com/webcontent/0060/698/444/cn60698444.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,". For every bag sold, STATE donates a percentage of the proceeds to American families in need. STATE is the family bag company that’s carrying everyone, everywhere, through the journey of life with open hands.",". For every bag sold, STATE donates a percentage of the proceeds to American families in need. STATE is the family bag company that’s carrying everyone, everywhere, through the journey of life with open hands.",STATE Kane Mini Backpack,,USD,39.95,88.0,"Recommended for little adventurers ages 2-4. The Kane Mini Backpack has a compact design with just enough space for the essentials. Perfect for preschool or their very first big trip! Let their personalities shine with designs just as unique as they are. 45% of this bag is made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need. STATE is the family bag company that’s carrying everyone, everywhere, through the journey of life with open hands.",1172319002,https://www.gap.com/browse/product.do?pid=1172319002&vid=1&pcid=3046567&cid=3046567,True,0,0,2026-02-22,One Size,1172319,State Bags
,0,,Gap,,Boys / Shop All Accessories > Boys > Shop All Accessories,Pink/Silver | Fuzzy Bolt,"Perfect for after-school activities, sleepovers, and weekend getaways. Designed with two handles and an adjustable crossbody strap for easy carrying. Detachable pouches for shoes and dirty clothes and interior pockets to keep everything organized. Made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need.",One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,One Size Sold & shipped by State Bags Return by mail only. 1 Add to Bag,18,https://www.gap.com/webcontent/0059/975/526/cn59975526.jpg,https://www.gap.com/webcontent/0059/975/526/cn59975526.jpg | https://www.gap.com/webcontent/0059/975/040/cn59975040.jpg | https://www.gap.com/webcontent/0061/037/250/cn61037250.jpg | https://www.gap.com/webcontent/0059/140/964/cn59140964.jpg | https://www.gap.com/webcontent/0059/219/508/cn59219508.jpg | https://www.gap.com/webcontent/0059/295/649/cn59295649.jpg | https://www.gap.com/webcontent/0060/698/444/cn60698444.jpg | https://www.gap.com/webcontent/0059/219/296/cn59219296.jpg | https://www.gap.com/webcontent/0052/433/489/cn52433489.jpg | https://www.gap.com/webcontent/0059/144/552/cn59144552.jpg | https://www.gap.com/webcontent/0059/145/791/cn59145791.jpg | https://www.gap.com/webcontent/0059/144/973/cn59144973.jpg | https://www.gap.com/webcontent/0060/796/156/cn60796156.jpg | https://www.gap.com/webcontent/0057/184/480/cn57184480.jpg | https://www.gap.com/webcontent/0060/791/857/cn60791857.jpg | https://www.gap.com/webcontent/0061/037/218/cn61037218.jpg | https://www.gap.com/webcontent/0061/037/143/cn61037143.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,". For every bag sold, STATE donates a percentage of the proceeds to American families in need.",". For every bag sold, STATE donates a percentage of the proceeds to American families in need.",STATE Rockaway Duffle,,USD,24.95,145.0,"Perfect for after-school activities, sleepovers, and weekend getaways. Designed with two handles and an adjustable crossbody strap for easy carrying. Detachable pouches for shoes and dirty clothes and interior pockets to keep everything organized. Made from recycled materials. For every bag sold, STATE donates a percentage of the proceeds to American families in need.",1173111002,https://www.gap.com/browse/product.do?pid=1173111002&vid=1&pcid=3046590&cid=3046590,True,0,0,2026-02-22,One Size,1173111,State Bags
,0,,Gap,,Women / Shoes & Accessories > Women > Shoes & Accessories,Cream,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,24,https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg,https://www.gap.com/webcontent/0056/007/547/cn56007547.jpg | https://www.gap.com/webcontent/0056/007/510/cn56007510.jpg | https://www.gap.com/webcontent/0056/007/519/cn56007519.jpg | https://www.gap.com/webcontent/0056/007/627/cn56007627.jpg | https://www.gap.com/webcontent/0056/007/505/cn56007505.jpg | https://www.gap.com/webcontent/0056/007/506/cn56007506.jpg | https://www.gap.com/webcontent/0056/007/571/cn56007571.jpg | https://www.gap.com/webcontent/0056/007/631/cn56007631.jpg | https://www.gap.com/webcontent/0056/007/473/cn56007473.jpg | https://www.gap.com/webcontent/0056/004/074/cn56004074.jpg | https://www.gap.com/webcontent/0056/007/513/cn56007513.jpg | https://www.gap.com/webcontent/0056/003/302/cn56003302.jpg | https://www.gap.com/webcontent/0055/341/230/cn55341230.jpg | https://www.gap.com/webcontent/0061/822/891/cn61822891.jpg | https://www.gap.com/webcontent/0055/341/135/cn55341135.jpg | https://www.gap.com/webcontent/0060/011/966/cn60011966.jpg | https://www.gap.com/webcontent/0055/342/116/cn55342116.jpg | https://www.gap.com/webcontent/0059/564/235/cn59564235.jpg | https://www.gap.com/webcontent/0061/036/597/cn61036597.jpg | https://www.gap.com/webcontent/0060/534/248/cn60534248.jpg | https://www.gap.com/webcontent/0061/863/273/cn61863273.jpg | https://www.gap.com/webcontent/0057/780/070/cn57780070.jpg | https://www.gap.com/webcontent/0060/830/097/cn60830097.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,,,Kibou Mini Vegan Leather Wallet Belt Bag,,USD,46.0,79.95,"A bag designed for your essentials, the Mini is made with you in mind, your style, your stuff, your peace of mind. Get creative with what you can carry along with these functional, simplified, perfectly sized mini fanny pack. Compliant with the highest safety standards (California Prop 65). Durable, easily cleanable vegan leather and nylon exterior. Wipeable and stain-resistant recycled nylon lining.",1169520002,https://www.gap.com/browse/product.do?pid=1169520002&vid=1&pcid=3046544&cid=3046544,True,0,0,2026-02-22,One Size,1169520,Kibou
,0,,Gap,,Girls / Shop All Accessories > Girls > Shop All Accessories,IRIDESCENT CLEAR,"Perfect for your little adventurer. Our very first kid-sized bags, designed for independence and hands-free fun. One spacious pocket designed to hold essentials. Hook to hold house keys, hair ties, Air Tag, or other small necessities. Kid, pet, and baby-friendly, compliant with the highest safety standards (California Prop 65). Easy to wipe clean, durable exterior and interior.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,18,https://www.gap.com/webcontent/0057/843/058/cn57843058.jpg,https://www.gap.com/webcontent/0057/843/058/cn57843058.jpg | https://www.gap.com/webcontent/0057/843/252/cn57843252.jpg | https://www.gap.com/webcontent/0061/017/585/cn61017585.jpg | https://www.gap.com/webcontent/0061/019/504/cn61019504.jpg | https://www.gap.com/webcontent/0061/036/285/cn61036285.jpg | https://www.gap.com/webcontent/0057/843/029/cn57843029.jpg | https://www.gap.com/webcontent/0059/974/695/cn59974695.jpg | https://www.gap.com/webcontent/0059/975/575/cn59975575.jpg | https://www.gap.com/webcontent/0059/912/755/cn59912755.jpg | https://www.gap.com/webcontent/0061/037/250/cn61037250.jpg | https://www.gap.com/webcontent/0061/017/150/cn61017150.jpg | https://www.gap.com/webcontent/0060/791/857/cn60791857.jpg | https://www.gap.com/webcontent/0061/120/754/cn61120754.jpg | https://www.gap.com/webcontent/0060/367/792/cn60367792.jpg | https://www.gap.com/webcontent/0061/221/407/cn61221407.jpg | https://www.gap.com/webcontent/0061/302/698/cn61302698.jpg | https://www.gap.com/webcontent/0061/206/450/cn61206450.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,,,Kibou Kids Belt Bag,,USD,32.0,39.95,"Perfect for your little adventurer. Our very first kid-sized bags, designed for independence and hands-free fun. One spacious pocket designed to hold essentials. Hook to hold house keys, hair ties, Air Tag, or other small necessities. Kid, pet, and baby-friendly, compliant with the highest safety standards (California Prop 65). Easy to wipe clean, durable exterior and interior.",1170746002,https://www.gap.com/browse/product.do?pid=1170746002&vid=1&pcid=3046567&cid=3046567,True,0,,2026-02-22,One Size,1170746,Kibou
,0,,Gap,,Girls / Shop All Accessories > Girls > Shop All Accessories,Silver,"Perfect for your little adventurer. Our very first kid-sized bags, designed for independence and hands-free fun. One spacious pocket designed to hold essentials. Separate wallet zipper pocket with slots for cards and cash, and plenty of room for coins or other small keepsakes. Brightly colored nylon lining to make it easy to spot items inside. Hook to hold house keys, hair ties, Air Tags, or other small necessities. Kid, pet, and baby-friendly, compliant with the highest safety standards (California Prop 65). Easy to wipe clean, durable exterior and interior.",One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,One Size Sold & shipped by Kibou Return by mail only. 1 Add to Bag,18,https://www.gap.com/webcontent/0057/843/029/cn57843029.jpg,https://www.gap.com/webcontent/0057/843/029/cn57843029.jpg | https://www.gap.com/webcontent/0057/843/241/cn57843241.jpg | https://www.gap.com/webcontent/0061/036/285/cn61036285.jpg | https://www.gap.com/webcontent/0057/843/058/cn57843058.jpg | https://www.gap.com/webcontent/0061/017/585/cn61017585.jpg | https://www.gap.com/webcontent/0060/791/857/cn60791857.jpg | https://www.gap.com/webcontent/0061/017/150/cn61017150.jpg | https://www.gap.com/webcontent/0061/019/504/cn61019504.jpg | https://www.gap.com/webcontent/0061/037/250/cn61037250.jpg | https://www.gap.com/webcontent/0060/367/792/cn60367792.jpg | https://www.gap.com/webcontent/0059/975/575/cn59975575.jpg | https://www.gap.com/webcontent/0056/071/943/cn56071943.jpg | https://www.gap.com/webcontent/0059/974/695/cn59974695.jpg | https://www.gap.com/webcontent/0061/302/698/cn61302698.jpg | https://www.gap.com/webcontent/0061/716/343/cn61716343.jpg | https://www.gap.com/webcontent/0059/961/248/cn59961248.jpg | https://www.gap.com/webcontent/0061/692/725/cn61692725.jpg | https://cdn.cookielaw.org/logos/e1cf9ab6-fc39-4557-b4ef-4393861dad52/d229a1c3-b8ad-46ad-9bdb-8311fd460a5f/c85f6701-9eae-4a9f-b770-87eee2dae9fc/Logo_color_lockup@3x.png,True,,,Kibou Kids Belt Bag,,USD,32.0,34.95,"Perfect for your little adventurer. Our very first kid-sized bags, designed for independence and hands-free fun. One spacious pocket designed to hold essentials. Separate wallet zipper pocket with slots for cards and cash, and plenty of room for coins or other small keepsakes. Brightly colored nylon lining to make it easy to spot items inside. Hook to hold house keys, hair ties, Air Tags, or other small necessities. Kid, pet, and baby-friendly, compliant with the highest safety standards (California Prop 65). Easy to wipe clean, durable exterior and interior.",1170747002,https://www.gap.com/browse/product.do?pid=1170747002&vid=1&pcid=3046567&cid=3046567,True,0,,2026-02-22,One Size,1170747,Kibou
