product_id,source,brand,product_name,leaf_category,price,original_price,discount_percent,is_on_sale,rating,review_count,description,material_text,dimensions,image_url,color_count,timestamp,product_url
CM933,jcrew,J.Crew,Berkeley shoulder bag in suede,bags,274.19,178,,True,4.827814569536423,151,"Our customer-favorite bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a refreshed, streamlined design, an adjustable shoulder strap, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this suede fabric may transfer and should be handled with care.100% leather.Leather trim.Cotton lining.Adjustable strap.Hidden magnetic closure.Imported.Select stores.Item CM933.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Leather trim. Cotton lining. Adjustable strap. Hidden magnetic closure. Imported. Select stores. Item CM933.,"10""H x 15""W x 3 1/4""D; 9""-11"" strap drop.","https://www.jcrew.com/s7-img-facade/CM933_EE7690?hei=1950&crop=0,0,1560,0",1,2026-02-23T12:56:40Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CM933?display=all&fit=Classic&colorProductCode=CM933&colorCode=EE7690
CM930,jcrew,J.Crew,Berkeley bucket bag in suede,bags,198,,,False,4.0,73,"We took our signature Berkeley bucket bag and softened things up with a new all-suede exterior and a more casual, slouchy shape you'll want to tote around every day. Please note: The color in this fabric may transfer and should be handled with care.100% leather.Tie closure.Imported.Select stores.Item CM930.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Tie closure. Imported. Select stores. Item CM930.,"12 1/2""H x 9""W x 5 7/8""D (bottom); 12 1/2""H x 13 1/4""W x 5 7/8""D (top). 9"" strap drop. Fits 14"" laptop.","https://www.jcrew.com/s7-img-facade/CM930_BL7171_m?hei=1950&crop=0,0,1560,0",2,2026-02-23T12:56:54Z,https://www.jcrew.com/m/womens/categories/accessories/bags/berkeley/ME606?display=all&fit=Classic&colorProductCode=CM930&colorCode=BL7171
CM951,jcrew,J.Crew,Delphine shoulder bag in leather,bags,178,,,False,4.703883495145631,206,"Our design team considered every detail to give this chic carryall a custom feel, from the double-zipper closure to the feet along the bottom that protect against wear and tear. But our favorite innovation has to be the contrast suede lining, which we bonded to the outside for a slouchy-yet-structured finish. Everyday, elevated—indeed.100% leather.Custom hardware.Lined in suede.Imported.Select stores.Item CM951.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Custom hardware. Lined in suede. Imported. Select stores. Item CM951.,"5""H x 10""W x 4 1/4""D; 9 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CM951_BK0001?hei=1950&crop=0,0,1560,0",2,2026-02-23T12:57:12Z,https://www.jcrew.com/m/womens/categories/accessories/bags/delphine/ME974?display=all&fit=Classic&colorProductCode=CM951&colorCode=BK0001
CM935,jcrew,J.Crew,Berkeley small shoulder bag in suede,bags,148,,,False,4.81858407079646,226,"Part of our best-selling Berkeley family, this soft suede style can be worn as a shoulder bag or crossbody, thanks to the adjustable strap. It's finished with signature gold-tone hardware and is just roomy enough for your essentials—plus your current book-club read.100% leather.Leather trim.Cotton lining.Removable adjustable crossbody strap.Hidden magnetic closure.Imported.Select stores.Item CM935.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Leather trim. Cotton lining. Removable adjustable crossbody strap. Hidden magnetic closure. Imported. Select stores. Item CM935.,"5 3/4""H x 9 7/8""W x 4"" D; 5 1/2""-7 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CM935_RD0136?hei=1950&crop=0,0,1560,0",2,2026-02-23T12:57:26Z,https://www.jcrew.com/m/womens/categories/accessories/bags/berkeley/ME975?display=all&fit=Classic&colorProductCode=CM935&colorCode=RD0136
CM934,jcrew,J.Crew,Berkeley chainlink shoulder bag in suede,bags,366.6,238,,True,4.6521739130434785,92,"Part of our best-selling Berkeley family, this suede shoulder bag comes in a slightly larger size, with just enough room for everything you need. It's finished with a sleek chainlink strap, a refreshed streamlined design, an interior card pocket and a magnetic closure—so it's as practical as it is polished. Please note: The color in this fabric may transfer and should be handled with care.100% leather.Leather trim.Cotton lining.Hidden magnetic closure.Imported.Select stores.Item CM934.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Leather trim. Cotton lining. Hidden magnetic closure. Imported. Select stores. Item CM934.,"10""H x 15""W x 3 1/4""D. 11"" strap drop.","https://www.jcrew.com/s7-img-facade/CM934_BR8760_m?hei=1950&crop=0,0,1560,0",1,2026-02-23T12:57:37Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CM934?display=all&fit=Classic&colorProductCode=CM934&colorCode=BR8760
CP050,jcrew,J.Crew,Drawstring pouch bag in leather,bags,148,,,False,4.568627450980392,51,"Bring this sleek, statement-making drawstring bag to your next party for all the compliments. Because we love options, it comes with a removable top handle, so you can wear it on your arm or hold it as a clutch.Leather.Imported.Select stores.Item CP050.",Leather. Imported. Select stores. Item CP050.,"6 1/4""H x 7 3/4""W x 2 5/8""D; 7"" handle drop.","https://www.jcrew.com/s7-img-facade/CP050_BK0001?hei=1950&crop=0,0,1560,0",2,2026-02-23T12:57:58Z,https://www.jcrew.com/m/womens/categories/accessories/bags/clutches-and-pouches/ME782?display=all&fit=Classic&colorProductCode=CP050&colorCode=BK0001
CR297,jcrew,J.Crew,Berkeley structured shoulder bag in suede and croc-embossed leather,bags,289.58,188,,True,4.857142857142857,7,"Part of our best-selling Berkeley family, this structured shoulder bag comes in a slightly smaller size with just enough room for your essentials—plus your current book-club read. It's finished with a zipper closure, inner pockets and croc-embossed leather handles, aka the easiest way to add extra polish. Please note: The color in this fabric may transfer and should be handled with care.Suede body.Leather handles.Imported.Select stores.Item CR297.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",Suede body. Leather handles. Imported. Select stores. Item CR297.,"6""H x 12 3/4""W. 8 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CR297_BR8801_m?hei=1950&crop=0,0,1560,0",1,2026-02-23T12:58:31Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR297?display=all&fit=Classic&colorProductCode=CR297&colorCode=BR8801
BZ445,jcrew,J.Crew,Large handknotted packable tote bag,bags,274.19,178,,False,4.556451612903226,124,"Our latest style makes lugging everything around so cute and easy (including itself, since you can fold it neatly to store in your trunk or luggage). Inside, you'll also find an interior pocket so that essentials like your keys, sunglasses and SPF won't get lost.Paper.Leather lining.Imported.Select stores.Item BZ445.",Paper. Leather lining. Imported. Select stores. Item BZ445.,"12 1/2""H x 12 1/2""W x 12 1/2""D; 9"" handle drop.","https://www.jcrew.com/s7-img-facade/BZ445_NA6445?hei=1950&crop=0,0,1560,0",1,2026-02-23T12:59:03Z,https://www.jcrew.com/p/womens/categories/accessories/bags/straw/BZ445?display=all&fit=Classic&colorProductCode=BZ445&colorCode=NA6445
BM842,jcrew,J.Crew,Printed reusable everyday tote,bags,30.04,,,False,4.8493150684931505,73,this eye-catching tote is along for every spring adventure.Cotton.Import.Item BM842.,Cotton. Import. Item BM842.,"15 1/2""H x 17""W x 2 5/8""D; 10"" handle drop.","https://www.jcrew.com/s7-img-facade/BM842_PT8750?hei=1950&crop=0,0,1560,0",1,2026-02-23T12:59:35Z,https://www.jcrew.com/p/womens/categories/accessories/bags/shoulder-bags/BM842?display=all&fit=Classic&colorProductCode=BM842&colorCode=PT8750
CR874,jcrew,J.Crew,Berkeley large tote in leather,bags,505.22,328,,False,5.0,1,"We took our signature tote and sized it up—making room for everything you need (and then some). With a slightly more structured silhouette, sleek flap closure and an extra-spacious interior, it's the all-day, everyday bag you've been waiting for. Plus, you'll love the expertly treated leather with a soft, lived-in patina (aka natural marks that add heritage-inspired character).100% leather.Cotton lining.Imported.Select stores.Item CR874.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Cotton lining. Imported. Select stores. Item CR874.,"10 1/2""H x 15 7/8""W x 7 1/4""D. 8 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CR874_EE9608?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:00:07Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR874?display=all&fit=Classic&colorProductCode=CR874&colorCode=EE9608
CR873,jcrew,J.Crew,Evie shoulder bag in leather,bags,228,,,False,5.0,2,"Meet Evie, a slightly larger, more relaxed take on our classic shoulder bags. This one has a soft slouch and two interior compartments for easy organization, plus a lock clasp and clochette detail to hang charms and keys. Plus, you'll love the expertly treated leather with a soft, lived-in patina (aka natural marks that add heritage-inspired character.)100% leather.Imported.Select stores.Item CR873.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Imported. Select stores. Item CR873.,"7 1/2""H x 12 3/8""W x 4""D. 8 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CR873_EE9608_m?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:00:39Z,https://www.jcrew.com/m/womens/categories/accessories/bags/shoulder-bags/ME893?display=all&fit=Classic&colorProductCode=CR873&colorCode=EE9608
CR875,jcrew,J.Crew,Berkeley belted bucket bag in suede,bags,351.2,228,,True,,,"We took the slouchy suede bucket bag you love and added a removable belt with a custom buckle (which matches back to our belt collection for peak coordination). To keep things secure, it also comes with an easy self-tie closure on the inside. Please note: Color may transfer onto this style when worn with denim. Please handle with care.100% leather.Imported.Select stores.Item CR875.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Imported. Select stores. Item CR875.,"12 1/2""H x 13 1/4""W x 5 7/8""D. 9"" strap drop.","https://www.jcrew.com/s7-img-facade/CR875_NA6524?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:01:11Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR875?display=all&fit=Classic&colorProductCode=CR875&colorCode=NA6524
CR872,jcrew,J.Crew,Evie shoulder bag in suede,bags,228,,,False,5.0,2,"Meet Evie, a slightly larger, more relaxed take on our classic shoulder bags. This one has a soft slouch and two interior compartments for easy organization, plus a lock clasp and clochette detail to hang charms and keys. Please note: Color may transfer onto this style when worn with denim. Please handle with care.100% leather.Imported.Online only.Item CR872.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Imported. Online only. Item CR872.,"7 1/2""H x 12 3/8""W x 4""D. 8 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CR872_EE9641?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:01:43Z,https://www.jcrew.com/m/womens/categories/accessories/bags/shoulder-bags/ME893?display=all&fit=Classic&colorProductCode=CR872&colorCode=EE9641
CM931,jcrew,J.Crew,Berkeley big bucket bag in leather,bags,351.2,228,,True,4.512820512820513,39,"Part of our Berkeley family, we took our signature bucket bag and sized it up—making room for more of what you need, from workday essentials to weekend extras. Crafted in leather that holds its shape—and its own—it's the polished carryall you've been asking for.100% leather.Tie closure.Imported.Select stores.Item CM931.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Tie closure. Imported. Select stores. Item CM931.,"13 1/2""H x 10 5/8""W x 6 1/2""D (bottom). 13 1/2""H x 15""W x 6 1/2""D (top). 10"" strap drop. Fits 16"" laptop.","https://www.jcrew.com/s7-img-facade/CM931_BR8760?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:02:15Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CM931?display=all&fit=Classic&colorProductCode=CM931&colorCode=BR8760
CP048,jcrew,J.Crew,Delphine shoulder bag in suede,bags,198,178,,True,4.703883495145631,206,"Our design team considered every detail to give this chic carryall a custom feel, from the double-zipper closure to the feet along the bottom that protect against wear and tear. But our favorite innovation has to be the contrast suede lining, which we bonded to the outside for a slouchy-yet-structured finish. Everyday, elevated—indeed.100% leather.Imported.Select stores.Item CP048.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",100% leather. Imported. Select stores. Item CP048.,"5""H x 10""W x 4 1/4""D; 9 1/2"" strap drop.","https://www.jcrew.com/s7-img-facade/CP048_EE8669?hei=1950&crop=0,0,1560,0",2,2026-02-23T13:02:47Z,https://www.jcrew.com/m/womens/categories/accessories/bags/delphine/ME974?display=all&fit=Classic&colorProductCode=CP048&colorCode=EE8669
CR299,jcrew,J.Crew,Berkeley belted bucket bag in studded leather,bags,382.01,248,,True,4.2,5,"We took the sleek leather bucket bag you love and added a removable grommet-accented belt (which matches back to our belt collection for peak coordination). Bonus: To keep things secure, it also comes with an easy self-tie closure on the inside.Leather.Self-tie closure.Select stores.Item CR299.Leather Working Group™This purchase supportsLWG-certified tanneriesLearn more about our Re-imagined fibersShop all Re-imagined styles",Leather. Self-tie closure. Select stores. Item CR299.,"12 1/2""H x 13 1/4""W. 1 1/8"" strap width. 9"" handle drop.","https://www.jcrew.com/s7-img-facade/CR299_BK0001_m?hei=1950&crop=0,0,1560,0",1,2026-02-23T13:03:19Z,https://www.jcrew.com/p/womens/categories/accessories/bags/berkeley/CR299?display=all&fit=Classic&colorProductCode=CR299&colorCode=BK0001
