segment_key,abercrombie,aritzia,gap,jcrew,target,total,target_pct,gap_pct,median_price_gap,opportunity_score
Shop All Accessories | recycled | Premium,0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,225.0,1125.0
"Bags, Scarves & More | vegan_leather | Mid",0.0,0.0,19.0,0.0,0.0,19.0,0.0,100.0,47.0,893.0
"Bags, Scarves & More | canvas_cotton | Mid",0.0,0.0,11.0,0.0,0.0,11.0,0.0,100.0,43.0,473.0
"Bags, Scarves & More | unknown | Entry",1.0,0.0,20.0,0.0,6.0,27.0,22.22222222222222,74.07407407407408,22.0,342.22222222222223
"Bags, Scarves & More | leather | Entry",0.0,0.0,9.0,0.0,0.0,9.0,0.0,100.0,26.0,234.0
Shop All Accessories | recycled | Mid,0.0,0.0,6.0,0.0,1.0,7.0,14.285714285714285,85.71428571428571,39.95,205.45714285714288
Shoes & Accessories | vegan_leather | Mid,0.0,0.0,4.0,0.0,0.0,4.0,0.0,100.0,46.0,184.0
Bags & Bag Charms | canvas_cotton | Entry,0.0,0.0,16.0,0.0,0.0,16.0,0.0,100.0,11.0,176.0
Shop All Accessories | nylon | Mid,0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,34.0,170.0
"Bags, Scarves & More | unknown | Mid",1.0,0.0,4.0,0.0,0.0,5.0,0.0,80.0,36.0,144.0
"Bags, Scarves & More | vegan_leather | Mid+",0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,62.5,125.0
Shop All Accessories | recycled | Entry,0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,24.95,124.75
"Bags, Scarves & More | vegan_leather | Entry",0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,24.0,120.0
"Bags, Scarves & More | canvas_cotton | Entry",0.0,0.0,6.0,0.0,0.0,6.0,0.0,100.0,19.95,119.7
Shop All Accessories | canvas_cotton | Entry,0.0,0.0,4.0,0.0,0.0,4.0,0.0,100.0,24.97,99.88
Shop All Accessories | leather | Entry,0.0,0.0,5.0,0.0,0.0,5.0,0.0,100.0,19.97,99.85
Shop All Accessories | recycled | Upper Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,98.0,98.0
"Bags, Scarves & More | unknown | Upper Mid",0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,92.0,92.0
"Bags, Scarves & More | leather | Mid",0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,44.0,88.0
Shop All Accessories | recycled | Mid+,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,79.95,79.95
Shoes & Accessories | nylon | Mid,0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,39.0,78.0
Shop All Accessories | straw | Entry,0.0,0.0,3.0,0.0,0.0,3.0,0.0,100.0,23.0,69.0
"Bags, Scarves & More | unknown | Mid+",2.0,0.0,1.0,0.0,0.0,3.0,0.0,33.33333333333333,67.0,67.0
"Bags, Scarves & More | canvas_cotton | Mid+",0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,62.0,62.0
Bags & Bag Charms | unknown | Entry,0.0,0.0,8.0,0.0,0.0,8.0,0.0,100.0,7.0,56.0
Shop All Accessories | unknown | Mid,0.0,0.0,2.0,0.0,1.0,3.0,33.33333333333333,66.66666666666666,34.95,46.60000000000001
Shop All Accessories | straw | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,41.0,41.0
Shoes & Accessories | unknown | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,32.0,32.0
Shop All Accessories | vegan_leather | Entry,0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0,15.0,30.0
Shop All Accessories | nylon | Entry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,27.0,27.0
Shop All Accessories | unknown | Entry,0.0,0.0,2.0,0.0,1.0,3.0,33.33333333333333,66.66666666666666,20.0,26.66666666666667
Shop All Accessories | canvas_cotton | Mid,0.0,0.0,1.0,0.0,1.0,2.0,50.0,50.0,38.0,19.0
Shoulder Bags | straw | Entry,0.0,0.0,1.0,0.0,3.0,4.0,75.0,25.0,12.97,3.2425
Bag Charms & Straps | unknown | Entry,0.0,0.0,1.0,0.0,18.0,19.0,94.73684210526316,5.263157894736842,24.0,1.2631578947368434
Shop All Accessories | unknown | Upper Mid,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Shop All Accessories | unknown | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
bags | unknown | Mid+,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
bags | unknown | Mid,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
girls | canvas_cotton | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
girls | unknown | Mid+,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Shoulder Bags | canvas_cotton | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
bags | unknown | Premium,0.0,1.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0
Shoulder Bags | canvas_cotton | Entry,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Wallets | unknown | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Shoulder Bags | leather | Entry,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Shoulder Bags | leather | Mid,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0
Wallets | leather | Entry,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0
bags | canvas_cotton | Mid+,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
bags | canvas_cotton | Premium,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
Wallets | canvas_cotton | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
bags | canvas_cotton | Upper Mid,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Shoulder Bags | unknown | Mid+,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Shoulder Bags | unknown | Mid,0.0,0.0,0.0,0.0,26.0,26.0,100.0,0.0,0.0,0.0
bags | leather | Mid+,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
bags | leather | Premium,0.0,0.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0
bags | nylon | Premium,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
bags | straw | Premium,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
Shoulder Bags | unknown | Entry,0.0,0.0,0.0,0.0,21.0,21.0,100.0,0.0,0.0,0.0
Shoulder Bags | straw | Mid,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0
Shoulder Bags | recycled | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Shoulder Bags | recycled | Entry,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Wallets | unknown | Entry,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0
Shoulder Bags | nylon | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Shoulder Bags | nylon | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0
Bag Charms & Straps | canvas_cotton | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Shop All Accessories | canvas_cotton | Premium,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bag Charms & Straps | leather | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Bags & Wallets | vegan_leather | Upper Mid,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bags & Wallets | unknown | Upper Mid,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bags & Wallets | unknown | Premium,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bags & Wallets | unknown | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Bags & Wallets | unknown | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0
Bags & Wallets | straw | Mid+,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bags & Wallets | nylon | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bags & Wallets | nylon | Mid+,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bags & Wallets | leather | Upper Mid,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Bags & Wallets | leather | Premium,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
Bags & Wallets | leather | Mid+,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
