segment_key,Gap,Universal Thread,total,Universal Thread_pct,Gap_pct
"Bags, Scarves & More | unknown | Entry",20,2,22,9.09,90.91
"Bags, Scarves & More | vegan_leather | Mid",19,0,19,0.0,100.0
Bags & Bag Charms | canvas_cotton | Entry,16,0,16,0.0,100.0
"Bags, Scarves & More | canvas_cotton | Mid",11,0,11,0.0,100.0
Shoulder Bags | unknown | Mid,0,10,10,100.0,0.0
"Bags, Scarves & More | leather | Entry",9,0,9,0.0,100.0
Bags & Bag Charms | unknown | Entry,8,0,8,0.0,100.0
Shop All Accessories | recycled | Mid,6,1,7,14.29,85.71
"Bags, Scarves & More | canvas_cotton | Entry",6,0,6,0.0,100.0
Shoulder Bags | unknown | Entry,0,6,6,100.0,0.0
Crossbody & Messenger Bags | unknown | Entry,0,6,6,100.0,0.0
Shop All Accessories | recycled | Premium,5,0,5,0.0,100.0
Shop All Accessories | recycled | Entry,5,0,5,0.0,100.0
Shop All Accessories | nylon | Mid,5,0,5,0.0,100.0
"Bags, Scarves & More | vegan_leather | Entry",5,0,5,0.0,100.0
Shop All Accessories | leather | Entry,5,0,5,0.0,100.0
Bag Charms & Straps | unknown | Entry,1,4,5,80.0,20.0
Shop All Accessories | canvas_cotton | Entry,4,0,4,0.0,100.0
Shoes & Accessories | vegan_leather | Mid,4,0,4,0.0,100.0
"Bags, Scarves & More | unknown | Mid",4,0,4,0.0,100.0
Shop All Accessories | unknown | Mid,2,1,3,33.33,66.67
Fashion Backpacks | nylon | Mid,0,3,3,100.0,0.0
Shop All Accessories | straw | Entry,3,0,3,0.0,100.0
Shoulder Bags | straw | Mid,0,3,3,100.0,0.0
Shoulder Bags | straw | Entry,1,2,3,66.67,33.33
Shoulder Bags | leather | Entry,0,3,3,100.0,0.0
Shoulder Bags | leather | Mid,0,2,2,100.0,0.0
Shop All Accessories | unknown | Entry,2,0,2,0.0,100.0
Shoulder Bags | canvas_cotton | Entry,0,2,2,100.0,0.0
"Bags, Scarves & More | leather | Mid",2,0,2,0.0,100.0
Shoulder Bags | nylon | Mid,0,2,2,100.0,0.0
Shop All Accessories | vegan_leather | Entry,2,0,2,0.0,100.0
"Bags, Scarves & More | vegan_leather | Mid+",2,0,2,0.0,100.0
Shop All Accessories | canvas_cotton | Mid,1,1,2,50.0,50.0
Shoes & Accessories | nylon | Mid,2,0,2,0.0,100.0
Fashion Backpacks | recycled | Mid,0,2,2,100.0,0.0
Shoulder Bags | nylon | Entry,0,1,1,100.0,0.0
Shoulder Bags | canvas_cotton | Mid,0,1,1,100.0,0.0
"Bags, Scarves & More | canvas_cotton | Mid+",1,0,1,0.0,100.0
Crossbody & Messenger Bags | straw | Entry,0,1,1,100.0,0.0
Shop All Accessories | recycled | Upper Mid,1,0,1,0.0,100.0
Shop All Accessories | straw | Mid,1,0,1,0.0,100.0
Crossbody & Messenger Bags | recycled | Entry,0,1,1,100.0,0.0
Shop All Accessories | recycled | Mid+,1,0,1,0.0,100.0
"Bags, Scarves & More | unknown | Mid+",1,0,1,0.0,100.0
"Bags, Scarves & More | unknown | Upper Mid",1,0,1,0.0,100.0
Shop All Accessories | nylon | Entry,1,0,1,0.0,100.0
Crossbody & Messenger Bags | canvas_cotton | Entry,0,1,1,100.0,0.0
Crossbody & Messenger Bags | leather | Entry,0,1,1,100.0,0.0
Shoes & Accessories | unknown | Mid,1,0,1,0.0,100.0
Bag Charms & Straps | canvas_cotton | Entry,0,1,1,100.0,0.0
