source,brand,category,mission,price_band,sku_count,category_total,density
a new day,a new day,Bag Charms & Straps,convertible_multiway,0_15,1,20,0.05
a new day,a new day,Bag Charms & Straps,micro_mini_impulse,0_15,16,20,0.8
a new day,a new day,Bag Charms & Straps,occasion_glam,0_15,3,20,0.15
a new day,a new day,Clutches,micro_mini_impulse,0_15,1,13,0.076923
a new day,a new day,Clutches,occasion_glam,15_25,1,13,0.076923
a new day,a new day,Clutches,occasion_glam,25_35,6,13,0.461538
a new day,a new day,Clutches,occasion_glam,35_50,4,13,0.307692
a new day,a new day,Clutches,slg_small_leathers,0_15,1,13,0.076923
a new day,a new day,Crossbody & Messenger Bags,everyday_crossbody,15_25,1,10,0.1
a new day,a new day,Crossbody & Messenger Bags,everyday_crossbody,25_35,4,10,0.4
a new day,a new day,Crossbody & Messenger Bags,micro_mini_impulse,25_35,2,10,0.2
a new day,a new day,Crossbody & Messenger Bags,occasion_glam,25_35,2,10,0.2
a new day,a new day,Crossbody & Messenger Bags,slg_small_leathers,15_25,1,10,0.1
a new day,a new day,Handbags & Purses,convertible_multiway,35_50,1,4,0.25
a new day,a new day,Handbags & Purses,micro_mini_impulse,15_25,1,4,0.25
a new day,a new day,Handbags & Purses,travel_utility,15_25,2,4,0.5
a new day,a new day,Satchels,convertible_multiway,35_50,2,5,0.4
a new day,a new day,Satchels,everyday_crossbody,25_35,1,5,0.2
a new day,a new day,Satchels,occasion_glam,25_35,1,5,0.2
a new day,a new day,Satchels,statement_fashion,25_35,1,5,0.2
a new day,a new day,Shoulder Bags,eco_conscious,25_35,1,30,0.033333
a new day,a new day,Shoulder Bags,eco_conscious,35_50,1,30,0.033333
a new day,a new day,Shoulder Bags,everyday_crossbody,25_35,2,30,0.066667
a new day,a new day,Shoulder Bags,everyday_crossbody,35_50,1,30,0.033333
a new day,a new day,Shoulder Bags,micro_mini_impulse,15_25,1,30,0.033333
a new day,a new day,Shoulder Bags,micro_mini_impulse,25_35,3,30,0.1
a new day,a new day,Shoulder Bags,occasion_glam,25_35,2,30,0.066667
a new day,a new day,Shoulder Bags,occasion_glam,35_50,1,30,0.033333
a new day,a new day,Shoulder Bags,statement_fashion,15_25,1,30,0.033333
a new day,a new day,Shoulder Bags,statement_fashion,35_50,1,30,0.033333
a new day,a new day,Shoulder Bags,value_mass,35_50,4,30,0.133333
a new day,a new day,Shoulder Bags,weekend_bucket,15_25,1,30,0.033333
a new day,a new day,Shoulder Bags,weekend_bucket,25_35,5,30,0.166667
a new day,a new day,Shoulder Bags,weekend_bucket,35_50,4,30,0.133333
a new day,a new day,Shoulder Bags,work_tote,25_35,1,30,0.033333
a new day,a new day,Shoulder Bags,work_tote,35_50,1,30,0.033333
a new day,a new day,Sunglasses & Eyeglasses,slg_small_leathers,0_15,2,2,1.0
a new day,a new day,Wallets,gym_active,0_15,1,6,0.166667
a new day,a new day,Wallets,slg_small_leathers,0_15,4,6,0.666667
