category,mission,price_band,focus_count_in_cell,competitor_count_in_cell,focus_density,competitor_median_density,competitor_max_density,gap,target_count_in_cell,target_density
Abercrombie x Kemo Sabe,statement_fashion,35_50,0,1,0.0,1.0,1.0,1.0,0,0.0
Adult Backpacks,everyday_crossbody,25_35,0,1,0.0,1.0,1.0,1.0,0,0.0
Awayday tote,minimal_modern,75_plus,0,2,0.0,1.0,1.0,1.0,0,0.0
Beach Bags,micro_mini_impulse,25_35,0,1,0.0,1.0,1.0,1.0,0,0.0
Bottoms,value_mass,50_75,0,2,0.0,1.0,1.0,1.0,0,0.0
"Candles, Grooming & Home",travel_utility,75_plus,0,2,0.0,1.0,1.0,1.0,0,0.0
Clutches,travel_utility,0_15,0,1,0.0,1.0,1.0,1.0,0,0.0
Clutches,weekend_bucket,0_15,0,1,0.0,1.0,1.0,1.0,0,0.0
Handbags & Purses,campus_student,0_15,0,1,0.0,1.0,1.0,1.0,0,0.0
Makeup Bags & Organizers,travel_utility,15_25,0,1,0.0,1.0,1.0,1.0,0,0.0
Mini Bags,micro_mini_impulse,25_35,0,3,0.0,1.0,1.0,1.0,0,0.0
Shoes & Accessories,micro_mini_impulse,35_50,0,5,0.0,1.0,1.0,1.0,0,0.0
Sunglasses & Eyeglasses,slg_small_leathers,0_15,0,2,0.0,1.0,1.0,1.0,0,0.0
Valet garment bag,travel_utility,35_50,0,1,0.0,1.0,1.0,1.0,0,0.0
Valet multi garment bag,travel_utility,35_50,0,1,0.0,1.0,1.0,1.0,0,0.0
boys,campus_student,75_plus,0,2,0.0,1.0,1.0,1.0,0,0.0
product.do,everyday_crossbody,50_75,0,1,0.0,1.0,1.0,1.0,0,0.0
Bags & Bag Charms,micro_mini_impulse,0_15,0,23,0.0,0.884615,0.884615,0.884615,0,0.0
Bag Charms & Straps,micro_mini_impulse,0_15,0,24,0.0,0.8,1.0,0.8,0,0.0
Fashion Backpacks,campus_student,35_50,0,4,0.0,0.8,0.8,0.8,0,0.0
Fashion Backpacks,campus_student,25_35,0,2,0.0,0.666667,0.666667,0.666667,0,0.0
Wallets,slg_small_leathers,0_15,0,4,0.0,0.666667,0.666667,0.666667,0,0.0
Bags,minimal_modern,35_50,0,2,0.0,0.5,0.5,0.5,0,0.0
Handbags & Purses,travel_utility,15_25,0,2,0.0,0.5,0.5,0.5,0,0.0
Satchels,convertible_multiway,25_35,0,1,0.0,0.5,0.5,0.5,0,0.0
Satchels,eco_conscious,25_35,0,1,0.0,0.5,0.5,0.5,0,0.0
Weekender Bags,travel_utility,35_50,0,2,0.0,0.5,0.5,0.5,0,0.0
Bags & Wallets,slg_small_leathers,75_plus,0,6,0.0,0.461538,0.461538,0.461538,0,0.0
Clutches,occasion_glam,25_35,0,6,0.0,0.461538,0.461538,0.461538,0,0.0
girls,micro_mini_impulse,75_plus,0,3,0.0,0.428571,0.428571,0.428571,0,0.0
Satchels,convertible_multiway,35_50,0,2,0.0,0.4,0.4,0.4,0,0.0
Bags & Wallets,oversized_carryall,75_plus,0,5,0.0,0.384615,0.384615,0.384615,0,0.0
Fashion Backpacks,micro_mini_impulse,15_25,0,1,0.0,0.333333,0.333333,0.333333,0,0.0
Crossbody & Messenger Bags,everyday_crossbody,25_35,0,7,0.0,0.315385,0.4,0.315385,0,0.0
Clutches,occasion_glam,35_50,0,4,0.0,0.307692,0.307692,0.307692,0,0.0
Crossbody & Messenger Bags,everyday_crossbody,15_25,0,10,0.0,0.307692,0.714286,0.307692,0,0.0
women,everyday_crossbody,75_plus,0,3,0.0,0.3,0.3,0.3,0,0.0
women,weekend_bucket,75_plus,0,3,0.0,0.3,0.3,0.3,0,0.0
girls,occasion_glam,75_plus,0,2,0.0,0.285714,0.285714,0.285714,0,0.0
bags,occasion_glam,75_plus,0,17,0.0,0.269841,0.269841,0.269841,0,0.0
Bags,campus_student,50_75,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags,statement_fashion,50_75,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Wallets,gym_active,75_plus,0,1,0.0,0.25,0.25,0.25,0,0.0
Bags & Wallets,travel_utility,50_75,0,1,0.0,0.25,0.25,0.25,0,0.0
Handbags & Purses,convertible_multiway,35_50,0,1,0.0,0.25,0.25,0.25,0,0.0
Handbags & Purses,micro_mini_impulse,15_25,0,1,0.0,0.25,0.25,0.25,0,0.0
Shoulder Bags,everyday_crossbody,15_25,0,1,0.0,0.25,0.25,0.25,0,0.0
Weekender Bags,oversized_carryall,25_35,0,1,0.0,0.25,0.25,0.25,0,0.0
Weekender Bags,travel_utility,25_35,0,1,0.0,0.25,0.25,0.25,0,0.0
Crossbody & Messenger Bags,everyday_crossbody,0_15,0,3,0.0,0.230769,0.230769,0.230769,0,0.0
Bag Charms & Straps,statement_fashion,0_15,0,2,0.0,0.2,0.2,0.2,0,0.0
Crossbody & Messenger Bags,occasion_glam,25_35,0,2,0.0,0.2,0.2,0.2,0,0.0
Fashion Backpacks,convertible_multiway,35_50,0,1,0.0,0.2,0.2,0.2,0,0.0
Satchels,everyday_crossbody,25_35,0,1,0.0,0.2,0.2,0.2,0,0.0
Satchels,occasion_glam,25_35,0,1,0.0,0.2,0.2,0.2,0,0.0
Satchels,statement_fashion,25_35,0,1,0.0,0.2,0.2,0.2,0,0.0
women,occasion_glam,75_plus,0,2,0.0,0.2,0.2,0.2,0,0.0
Shoulder Bags,weekend_bucket,35_50,0,8,0.0,0.191667,0.25,0.191667,0,0.0
"Bags, Scarves & More",micro_mini_impulse,25_35,0,14,0.0,0.181818,0.181818,0.181818,0,0.0
Crossbody & Messenger Bags,micro_mini_impulse,25_35,0,4,0.0,0.176923,0.2,0.176923,0,0.0
Shoulder Bags,weekend_bucket,25_35,0,9,0.0,0.166667,0.75,0.166667,0,0.0
Wallets,gym_active,0_15,0,1,0.0,0.166667,0.166667,0.166667,0,0.0
Wallets,slg_small_leathers,15_25,0,1,0.0,0.166667,0.166667,0.166667,0,0.0
Bags & Wallets,travel_utility,75_plus,0,2,0.0,0.163462,0.25,0.163462,0,0.0
Bags & Wallets,work_tote,75_plus,0,2,0.0,0.163462,0.25,0.163462,0,0.0
Bag Charms & Straps,occasion_glam,0_15,0,3,0.0,0.15,0.15,0.15,0,0.0
Crossbody & Messenger Bags,festival_outdoor,15_25,0,1,0.0,0.142857,0.142857,0.142857,0,0.0
Crossbody & Messenger Bags,weekend_bucket,15_25,0,1,0.0,0.142857,0.142857,0.142857,0,0.0
girls,gifting_ready,50_75,0,1,0.0,0.142857,0.142857,0.142857,0,0.0
girls,gym_active,75_plus,0,1,0.0,0.142857,0.142857,0.142857,0,0.0
Shoulder Bags,value_mass,35_50,0,4,0.0,0.133333,0.133333,0.133333,0,0.0
"Bags, Scarves & More",micro_mini_impulse,15_25,0,10,0.0,0.12987,0.12987,0.12987,0,0.0
bags,luxury_signal,75_plus,0,8,0.0,0.126984,0.126984,0.126984,0,0.0
