segment_key,abercrombie,aritzia,gap,jcrew,target
accessory | canvas_cotton | Entry,0.0,0.0,11.0,0.0,12.0
accessory | canvas_cotton | Mid,0.0,0.0,42.0,0.0,0.0
accessory | canvas_cotton | Mid+,0.0,0.0,0.0,61.61,0.0
accessory | leather | Entry,0.0,0.0,26.0,0.0,10.0
accessory | leather | Premium,0.0,0.0,0.0,148.0,0.0
accessory | nylon | Mid,0.0,0.0,43.5,0.0,30.0
accessory | straw | Entry,0.0,0.0,21.5,0.0,10.0
accessory | straw | Mid,0.0,0.0,41.0,0.0,0.0
accessory | straw | Premium,0.0,0.0,0.0,233.36,0.0
accessory | unknown | Entry,23.33,0.0,13.0,0.0,10.0
accessory | unknown | Mid,32.66,0.0,36.0,0.0,0.0
accessory | unknown | Mid+,0.0,0.0,67.0,84.72,0.0
accessory | unknown | Premium,0.0,0.0,0.0,181.76,0.0
accessory | unknown | Upper Mid,0.0,0.0,92.0,91.65,0.0
accessory | vegan_leather | Entry,0.0,0.0,19.95,0.0,0.0
accessory | vegan_leather | Mid,0.0,0.0,47.0,0.0,0.0
accessory | vegan_leather | Mid+,0.0,0.0,62.5,0.0,0.0
backpack | canvas_cotton | Mid,0.0,0.0,38.0,0.0,0.0
backpack | nylon | Entry,0.0,0.0,0.0,0.0,25.0
backpack | nylon | Mid,0.0,0.0,38.0,0.0,35.0
backpack | nylon | Premium,0.0,4000.0,0.0,166.36,0.0
backpack | recycled | Entry,0.0,0.0,28.0,0.0,0.0
backpack | recycled | Mid,0.0,0.0,39.95,0.0,37.5
backpack | unknown | Entry,0.0,0.0,0.0,0.0,22.5
backpack | unknown | Mid,0.0,0.0,0.0,0.0,35.0
backpack | unknown | Premium,0.0,0.0,0.0,125.0,0.0
backpack | unknown | Upper Mid,0.0,0.0,0.0,98.0,0.0
bucket | leather | Entry,0.0,0.0,0.0,0.0,25.0
bucket | leather | Premium,0.0,0.0,0.0,351.2,0.0
bucket | straw | Entry,0.0,0.0,0.0,0.0,25.0
bucket | straw | Mid,0.0,0.0,0.0,0.0,30.0
bucket | unknown | Entry,0.0,0.0,0.0,0.0,29.75
bucket | unknown | Mid,0.0,0.0,0.0,0.0,35.0
bucket | unknown | Premium,0.0,0.0,0.0,366.6,0.0
clutch | canvas_cotton | Premium,0.0,0.0,0.0,2464.51,0.0
clutch | leather | Mid+,0.0,0.0,0.0,89.0,0.0
clutch | leather | Premium,0.0,0.0,0.0,256.15,0.0
clutch | straw | Mid,0.0,0.0,0.0,0.0,40.0
clutch | straw | Premium,0.0,0.0,0.0,531.41,0.0
clutch | unknown | Entry,0.0,0.0,0.0,0.0,12.75
clutch | unknown | Mid,0.0,0.0,0.0,0.0,30.0
clutch | unknown | Premium,0.0,0.0,0.0,963.985,0.0
crossbody | canvas_cotton | Entry,0.0,0.0,0.0,0.0,20.0
crossbody | canvas_cotton | Mid,0.0,0.0,0.0,0.0,32.5
crossbody | leather | Entry,0.0,0.0,0.0,0.0,15.0
crossbody | leather | Mid,0.0,0.0,0.0,0.0,30.0
crossbody | leather | Premium,0.0,0.0,0.0,202.985,0.0
crossbody | nylon | Mid,0.0,0.0,34.0,0.0,0.0
crossbody | recycled | Entry,0.0,0.0,24.95,0.0,18.0
crossbody | recycled | Mid+,0.0,0.0,79.95,0.0,0.0
crossbody | straw | Entry,0.0,0.0,0.0,0.0,20.0
crossbody | straw | Mid,0.0,0.0,0.0,0.0,30.0
crossbody | unknown | Entry,0.0,0.0,0.0,0.0,18.0
crossbody | unknown | Mid,0.0,0.0,0.0,0.0,30.0
crossbody | unknown | Mid+,0.0,0.0,0.0,76.25,0.0
crossbody | unknown | Upper Mid,0.0,0.0,0.0,95.885,0.0
mini | leather | Premium,0.0,0.0,0.0,385.09,0.0
mini | nylon | Mid,0.0,0.0,46.0,0.0,0.0
mini | unknown | Entry,0.0,0.0,0.0,0.0,5.0
mini | vegan_leather | Mid,0.0,0.0,46.0,0.0,0.0
other | canvas_cotton | Mid,0.0,0.0,0.0,59.0,0.0
other | canvas_cotton | Mid+,0.0,0.0,0.0,69.0,0.0
other | canvas_cotton | Premium,0.0,4900.0,0.0,123.23,0.0
other | canvas_cotton | Upper Mid,0.0,0.0,0.0,118.0,0.0
other | leather | Entry,0.0,0.0,0.0,0.0,12.5
other | leather | Mid+,0.0,0.0,0.0,80.0,0.0
other | leather | Premium,0.0,0.0,0.0,178.0,0.0
other | leather | Upper Mid,0.0,0.0,0.0,110.0,0.0
other | nylon | Mid,0.0,0.0,32.0,0.0,0.0
other | recycled | Entry,0.0,0.0,16.95,0.0,0.0
other | recycled | Mid,0.0,0.0,34.95,0.0,0.0
other | recycled | Premium,0.0,0.0,230.0,0.0,0.0
other | recycled | Upper Mid,0.0,0.0,98.0,0.0,0.0
other | unknown | Entry,0.0,0.0,0.0,0.0,8.0
other | unknown | Mid,46.65,0.0,34.95,0.0,0.0
other | unknown | Mid+,0.0,0.0,0.0,76.25,0.0
satchel | leather | Entry,0.0,0.0,0.0,0.0,25.0
satchel | leather | Mid,0.0,0.0,0.0,0.0,30.0
satchel | unknown | Entry,0.0,0.0,0.0,0.0,25.0
satchel | unknown | Mid,0.0,0.0,0.0,0.0,35.0
shoulder | canvas_cotton | Entry,0.0,0.0,24.97,0.0,0.0
shoulder | leather | Mid,0.0,0.0,0.0,0.0,35.0
shoulder | leather | Premium,0.0,0.0,0.0,289.58,0.0
shoulder | nylon | Entry,0.0,0.0,27.0,0.0,0.0
shoulder | nylon | Mid,0.0,0.0,34.0,0.0,40.0
shoulder | recycled | Mid,0.0,0.0,0.0,0.0,30.0
shoulder | straw | Entry,0.0,0.0,0.0,0.0,25.0
shoulder | straw | Mid,0.0,0.0,0.0,0.0,30.0
shoulder | unknown | Entry,0.0,0.0,0.0,0.0,22.5
shoulder | unknown | Mid,0.0,0.0,0.0,0.0,32.5
shoulder | unknown | Mid+,79.315,0.0,0.0,0.0,0.0
tote | canvas_cotton | Entry,0.0,0.0,0.0,0.0,15.0
tote | canvas_cotton | Mid,0.0,0.0,59.95,30.04,32.5
tote | canvas_cotton | Mid+,69.98,0.0,62.0,88.0,0.0
tote | canvas_cotton | Premium,0.0,3900.0,0.0,144.41500000000002,0.0
tote | leather | Entry,0.0,0.0,19.97,0.0,21.5
tote | leather | Mid,0.0,0.0,44.0,0.0,0.0
tote | leather | Mid+,83.98,0.0,0.0,0.0,0.0
tote | leather | Premium,0.0,0.0,0.0,348.0,0.0
tote | nylon | Entry,0.0,0.0,0.0,0.0,20.0
tote | nylon | Mid,0.0,0.0,0.0,0.0,32.5
tote | nylon | Mid+,83.98,0.0,0.0,0.0,0.0
tote | nylon | Premium,0.0,0.0,0.0,201.78500000000003,0.0
tote | recycled | Entry,0.0,0.0,0.0,0.0,16.5
tote | recycled | Mid,0.0,0.0,0.0,0.0,35.0
tote | straw | Entry,0.0,0.0,0.0,0.0,25.0
tote | straw | Mid,0.0,0.0,0.0,0.0,37.5
tote | straw | Mid+,65.32,0.0,0.0,0.0,0.0
tote | straw | Premium,0.0,0.0,0.0,200.25,0.0
tote | unknown | Entry,0.0,0.0,0.0,0.0,22.5
tote | unknown | Mid,0.0,0.0,0.0,0.0,35.0
tote | unknown | Mid+,83.98,0.0,0.0,0.0,0.0
tote | unknown | Premium,0.0,12000.0,0.0,0.0,0.0
tote | unknown | Upper Mid,102.64,0.0,0.0,0.0,0.0
tote | vegan_leather | Mid,0.0,0.0,54.99,0.0,0.0
tote | vegan_leather | Upper Mid,93.31,0.0,0.0,0.0,0.0
weekender | canvas_cotton | Mid,0.0,0.0,0.0,0.0,30.0
weekender | recycled | Premium,0.0,0.0,195.0,0.0,0.0
weekender | unknown | Mid,0.0,0.0,0.0,0.0,35.0
