segment_key,count,mean,std,min,25%,50%,75%,max
accessory | canvas_cotton | Entry,25.0,13.76,4.602467635229316,8.5,11.0,11.0,15.0,27.0
accessory | canvas_cotton | Mid,10.0,39.5,6.150880695748645,32.0,32.75,42.0,43.0,47.0
accessory | canvas_cotton | Mid+,1.0,61.61,,61.61,61.61,61.61,61.61,61.61
accessory | leather | Entry,12.0,21.583333333333332,8.084309531806696,5.0,22.0,26.0,26.0,26.0
accessory | leather | Premium,1.0,148.0,,148.0,148.0,148.0,148.0,148.0
accessory | nylon | Mid,3.0,39.0,12.288205727444508,30.0,32.0,34.0,43.5,53.0
accessory | straw | Entry,8.0,15.37125,6.928391768657428,10.0,10.0,11.485,20.75,27.0
accessory | straw | Mid,1.0,41.0,,41.0,41.0,41.0,41.0,41.0
accessory | straw | Premium,2.0,233.36,51.19453095790604,197.16,215.26,233.36,251.46,269.56
accessory | unknown | Entry,57.0,13.786491228070174,6.451329456351301,7.0,10.0,10.0,22.0,27.0
accessory | unknown | Mid,5.0,35.332,4.269791563999349,32.0,32.0,32.66,40.0,40.0
accessory | unknown | Mid+,2.0,75.86,12.529932162625622,67.0,71.43,75.86,80.28999999999999,84.72
accessory | unknown | Premium,3.0,177.17333333333332,7.944339704049245,168.0,174.88,181.76,181.76,181.76
accessory | unknown | Upper Mid,2.0,91.825,0.24748737341528762,91.65,91.73750000000001,91.825,91.9125,92.0
accessory | vegan_leather | Entry,7.0,20.99285714285714,5.133259894341718,15.0,17.0,19.95,25.5,27.0
accessory | vegan_leather | Mid,16.0,47.999375,8.10045304802968,34.99,42.0,47.0,55.0,59.0
accessory | vegan_leather | Mid+,2.0,62.5,0.7071067811865476,62.0,62.25,62.5,62.75,63.0
backpack | canvas_cotton | Mid,1.0,38.0,,38.0,38.0,38.0,38.0,38.0
backpack | nylon | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
backpack | nylon | Mid,3.0,36.0,1.7320508075688772,35.0,35.0,35.0,36.5,38.0
backpack | nylon | Premium,3.0,1444.24,2213.4066601508184,150.96,166.36,181.76,2090.88,4000.0
backpack | recycled | Entry,1.0,28.0,,28.0,28.0,28.0,28.0,28.0
backpack | recycled | Mid,7.0,39.964285714285715,4.991719333532476,34.95,37.475,39.95,39.975,49.95
backpack | unknown | Entry,2.0,22.5,3.5355339059327378,20.0,21.25,22.5,23.75,25.0
backpack | unknown | Mid,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
backpack | unknown | Premium,1.0,125.0,,125.0,125.0,125.0,125.0,125.0
backpack | unknown | Upper Mid,1.0,98.0,,98.0,98.0,98.0,98.0,98.0
bucket | leather | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
bucket | leather | Premium,7.0,368.80285714285714,47.41822600164262,304.98,351.2,351.2,382.01,459.02
bucket | straw | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
bucket | straw | Mid,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
bucket | unknown | Entry,1.0,29.75,,29.75,29.75,29.75,29.75,29.75
bucket | unknown | Mid,3.0,33.333333333333336,2.8867513459481287,30.0,32.5,35.0,35.0,35.0
bucket | unknown | Premium,1.0,366.6,,366.6,366.6,366.6,366.6,366.6
clutch | canvas_cotton | Premium,3.0,1811.4133333333332,1406.4443142312225,197.16,1330.835,2464.51,2618.54,2772.57
clutch | leather | Mid+,1.0,89.0,,89.0,89.0,89.0,89.0,89.0
clutch | leather | Premium,2.0,256.15,167.0893323943812,138.0,197.075,256.15,315.225,374.3
clutch | straw | Mid,1.0,40.0,,40.0,40.0,40.0,40.0,40.0
clutch | straw | Premium,6.0,516.01,52.23573642632025,431.29,496.76,531.41,531.41,585.33
clutch | unknown | Entry,5.0,17.05,7.554799798803407,10.0,12.0,12.75,25.0,25.5
clutch | unknown | Mid,7.0,32.857142857142854,3.9339789623472154,30.0,30.0,30.0,35.0,40.0
clutch | unknown | Premium,4.0,1038.9925,1008.3538830977612,128.0,202.9775,963.985,1800.0,2100.0
crossbody | canvas_cotton | Entry,2.0,20.0,7.0710678118654755,15.0,17.5,20.0,22.5,25.0
crossbody | canvas_cotton | Mid,2.0,32.5,3.5355339059327378,30.0,31.25,32.5,33.75,35.0
crossbody | leather | Entry,5.0,15.3,7.446475676452586,6.5,10.0,15.0,20.0,25.0
crossbody | leather | Mid,2.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
crossbody | leather | Premium,6.0,242.27833333333334,125.27212960857122,148.0,155.5,202.985,262.635,477.51
crossbody | nylon | Mid,1.0,34.0,,34.0,34.0,34.0,34.0,34.0
crossbody | recycled | Entry,9.0,20.733333333333334,4.4473306600701505,12.75,18.0,20.0,24.95,25.0
crossbody | recycled | Mid+,1.0,79.95,,79.95,79.95,79.95,79.95,79.95
crossbody | straw | Entry,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
crossbody | straw | Mid,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
crossbody | unknown | Entry,15.0,18.433333333333334,7.05366335081755,6.5,14.0,18.0,25.0,29.75
crossbody | unknown | Mid,3.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
crossbody | unknown | Mid+,1.0,76.25,,76.25,76.25,76.25,76.25,76.25
crossbody | unknown | Upper Mid,2.0,95.885,5.989194436650057,91.65,93.76750000000001,95.885,98.0025,100.12
mini | leather | Premium,1.0,385.09,,385.09,385.09,385.09,385.09,385.09
mini | nylon | Mid,1.0,46.0,,46.0,46.0,46.0,46.0,46.0
mini | unknown | Entry,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
mini | vegan_leather | Mid,4.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0
other | canvas_cotton | Mid,2.0,59.0,0.0,59.0,59.0,59.0,59.0,59.0
other | canvas_cotton | Mid+,2.0,69.0,0.0,69.0,69.0,69.0,69.0,69.0
other | canvas_cotton | Premium,4.0,1343.6074999999998,2371.4423972535506,123.23,123.23,175.6,1395.9775,4900.0
other | canvas_cotton | Upper Mid,1.0,118.0,,118.0,118.0,118.0,118.0,118.0
other | leather | Entry,2.0,12.5,3.5355339059327378,10.0,11.25,12.5,13.75,15.0
other | leather | Mid+,4.0,80.0,5.773502691896258,75.0,75.0,80.0,85.0,85.0
other | leather | Premium,1.0,178.0,,178.0,178.0,178.0,178.0,178.0
other | leather | Upper Mid,2.0,110.0,0.0,110.0,110.0,110.0,110.0,110.0
other | nylon | Mid,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
other | recycled | Entry,1.0,16.95,,16.95,16.95,16.95,16.95,16.95
other | recycled | Mid,1.0,34.95,,34.95,34.95,34.95,34.95,34.95
other | recycled | Premium,3.0,228.33333333333334,2.886751345948129,225.0,227.5,230.0,230.0,230.0
other | recycled | Upper Mid,1.0,98.0,,98.0,98.0,98.0,98.0,98.0
other | unknown | Entry,5.0,4.6,4.560701700396552,0.0,0.0,5.0,8.0,10.0
other | unknown | Mid,4.0,37.1375,6.492351268993382,32.0,34.212500000000006,34.95,37.875,46.65
other | unknown | Mid+,3.0,76.25,0.0,76.25,76.25,76.25,76.25,76.25
satchel | leather | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
satchel | leather | Mid,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
satchel | unknown | Entry,3.0,23.333333333333332,2.886751345948129,20.0,22.5,25.0,25.0,25.0
satchel | unknown | Mid,5.0,34.0,4.183300132670378,30.0,30.0,35.0,35.0,40.0
shoulder | canvas_cotton | Entry,4.0,24.97,0.0,24.97,24.97,24.97,24.97,24.97
shoulder | leather | Mid,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
shoulder | leather | Premium,19.0,344.40631578947364,194.22762182582827,178.0,227.985,289.58,375.845,916.49
shoulder | nylon | Entry,1.0,27.0,,27.0,27.0,27.0,27.0,27.0
shoulder | nylon | Mid,2.0,37.0,4.242640687119285,34.0,35.5,37.0,38.5,40.0
shoulder | recycled | Mid,2.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
shoulder | straw | Entry,1.0,25.0,,25.0,25.0,25.0,25.0,25.0
shoulder | straw | Mid,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
shoulder | unknown | Entry,8.0,20.25,6.3358391032961965,7.5,18.375,22.5,25.0,25.0
shoulder | unknown | Mid,8.0,33.125,3.720119045714225,30.0,30.0,32.5,35.0,40.0
shoulder | unknown | Mid+,2.0,79.315,6.597306268470487,74.65,76.9825,79.315,81.64750000000001,83.98
tote | canvas_cotton | Entry,1.0,15.0,,15.0,15.0,15.0,15.0,15.0
tote | canvas_cotton | Mid,4.0,38.7475,14.32863188398204,30.0,30.03,32.519999999999996,41.2375,59.95
tote | canvas_cotton | Mid+,3.0,73.32666666666667,13.319164137937985,62.0,65.99000000000001,69.98,78.99000000000001,88.0
tote | canvas_cotton | Premium,5.0,900.9399999999999,1676.6055571749723,137.87,137.87,150.96,178.0,3900.0
tote | leather | Entry,7.0,20.692857142857143,3.14971276090225,16.97,18.985,19.97,22.47,25.0
