segment_key,abercrombie,aritzia,gap,jcrew,target,total,target_pct,gap_pct
accessory | canvas_cotton | Entry,0.0,0.0,22.0,0.0,3.0,25.0,12.0,88.0
accessory | canvas_cotton | Mid,0.0,0.0,10.0,0.0,0.0,10.0,0.0,100.0
accessory | canvas_cotton | Mid+,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
accessory | leather | Entry,0.0,0.0,9.0,0.0,3.0,12.0,25.0,75.0
accessory | leather | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
accessory | nylon | Mid,0.0,0.0,2.0,0.0,1.0,3.0,33.33333333333333,66.66666666666666
accessory | straw | Entry,0.0,0.0,4.0,0.0,4.0,8.0,50.0,50.0
accessory | straw | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
accessory | straw | Premium,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
accessory | unknown | Entry,1.0,0.0,31.0,0.0,25.0,57.0,43.859649122807014,54.385964912280706
accessory | unknown | Mid,1.0,0.0,4.0,0.0,0.0,5.0,0.0,80.0
accessory | unknown | Mid+,0.0,0.0,1.0,1.0,0.0,2.0,0.0,50.0
accessory | unknown | Premium,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
accessory | unknown | Upper Mid,0.0,0.0,1.0,1.0,0.0,2.0,0.0,50.0
accessory | vegan_leather | Entry,0.0,0.0,7.0,0.0,0.0,7.0,0.0,100.0
accessory | vegan_leather | Mid,0.0,0.0,16.0,0.0,0.0,16.0,0.0,100.0
accessory | vegan_leather | Mid+,0.0,0.0,2.0,0.0,0.0,2.0,0.0,100.0
backpack | canvas_cotton | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
backpack | nylon | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
backpack | nylon | Mid,0.0,0.0,1.0,0.0,2.0,3.0,66.66666666666666,33.33333333333333
backpack | nylon | Premium,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
backpack | recycled | Entry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
backpack | recycled | Mid,0.0,0.0,5.0,0.0,2.0,7.0,28.57142857142857,71.42857142857143
backpack | unknown | Entry,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
backpack | unknown | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
backpack | unknown | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
backpack | unknown | Upper Mid,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
bucket | leather | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
bucket | leather | Premium,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
bucket | straw | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
bucket | straw | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
bucket | unknown | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
bucket | unknown | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0
bucket | unknown | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
clutch | canvas_cotton | Premium,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
clutch | leather | Mid+,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
clutch | leather | Premium,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
clutch | straw | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
clutch | straw | Premium,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
clutch | unknown | Entry,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0
clutch | unknown | Mid,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0
clutch | unknown | Premium,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
crossbody | canvas_cotton | Entry,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
crossbody | canvas_cotton | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
crossbody | leather | Entry,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0
crossbody | leather | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
crossbody | leather | Premium,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
crossbody | nylon | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
crossbody | recycled | Entry,0.0,0.0,3.0,0.0,6.0,9.0,66.66666666666666,33.33333333333333
crossbody | recycled | Mid+,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
crossbody | straw | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
crossbody | straw | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
crossbody | unknown | Entry,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0
crossbody | unknown | Mid,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0
crossbody | unknown | Mid+,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
crossbody | unknown | Upper Mid,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
mini | leather | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
mini | nylon | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
mini | unknown | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
mini | vegan_leather | Mid,0.0,0.0,4.0,0.0,0.0,4.0,0.0,100.0
other | canvas_cotton | Mid,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
other | canvas_cotton | Mid+,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
other | canvas_cotton | Premium,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0
other | canvas_cotton | Upper Mid,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
other | leather | Entry,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
other | leather | Mid+,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
other | leather | Premium,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
other | leather | Upper Mid,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
other | nylon | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
other | recycled | Entry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
other | recycled | Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
other | recycled | Premium,0.0,0.0,3.0,0.0,0.0,3.0,0.0,100.0
other | recycled | Upper Mid,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
other | unknown | Entry,0.0,0.0,0.0,2.0,3.0,5.0,60.0,0.0
other | unknown | Mid,1.0,0.0,3.0,0.0,0.0,4.0,0.0,75.0
other | unknown | Mid+,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
satchel | leather | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
satchel | leather | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
satchel | unknown | Entry,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0
satchel | unknown | Mid,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0
shoulder | canvas_cotton | Entry,0.0,0.0,4.0,0.0,0.0,4.0,0.0,100.0
shoulder | leather | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
shoulder | leather | Premium,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0
shoulder | nylon | Entry,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0
shoulder | nylon | Mid,0.0,0.0,1.0,0.0,1.0,2.0,50.0,50.0
shoulder | recycled | Mid,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0
shoulder | straw | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
shoulder | straw | Mid,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
shoulder | unknown | Entry,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0
shoulder | unknown | Mid,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0
shoulder | unknown | Mid+,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
tote | canvas_cotton | Entry,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0
tote | canvas_cotton | Mid,0.0,0.0,1.0,1.0,2.0,4.0,50.0,25.0
tote | canvas_cotton | Mid+,1.0,0.0,1.0,1.0,0.0,3.0,0.0,33.33333333333333
